Year,Value,Units
2010,107.2,T_OE_PER_1000000_EUR
2011,98.5,T_OE_PER_1000000_EUR
2012,101.4,T_OE_PER_1000000_EUR
2013,98.9,T_OE_PER_1000000_EUR
2014,94.9,T_OE_PER_1000000_EUR
2015,93.4,T_OE_PER_1000000_EUR
2016,89.8,T_OE_PER_1000000_EUR
2017,90.0,T_OE_PER_1000000_EUR
2018,87.4,T_OE_PER_1000000_EUR
2019,86.6,T_OE_PER_1000000_EUR
2020,86.3,T_OE_PER_1000000_EUR
2021,87.5,T_OE_PER_1000000_EUR
2022,85.8,T_OE_PER_1000000_EUR
