Year,Value,Units,Series,GeoCode
2011,0.0,CON_EUR,NY_GDP_PCAP,
2020,-9.7,CON_EUR,NY_GDP_PCAP,
2022,5.3,CON_EUR,NY_GDP_PCAP,
2021,6.3,CON_EUR,NY_GDP_PCAP,
2018,2.8,CON_EUR,NY_GDP_PCAP,
2019,1.8,CON_EUR,NY_GDP_PCAP,
2016,3.2,CON_EUR,NY_GDP_PCAP,
2014,1.8,CON_EUR,NY_GDP_PCAP,
2013,-1.6,CON_EUR,NY_GDP_PCAP,
2012,-2.0,CON_EUR,NY_GDP_PCAP,
2017,2.6,CON_EUR,NY_GDP_PCAP,
2010,0.5,CON_EUR,NY_GDP_PCAP,
2015,3.0,CON_EUR,NY_GDP_PCAP,
2017,3.2,EUR,EU_GDP_PCAPNOM,
2015,3.2,EUR,EU_GDP_PCAPNOM,
2020,-9.8,EUR,EU_GDP_PCAPNOM,
2022,10.5,EUR,EU_GDP_PCAPNOM,
2019,3.0,EUR,EU_GDP_PCAPNOM,
2021,9.0,EUR,EU_GDP_PCAPNOM,
2016,3.9,EUR,EU_GDP_PCAPNOM,
2018,4.0,EUR,EU_GDP_PCAPNOM,
