Year,Value,Units
2022,0.0,PER_100000
2020,0.36,PER_100000
2012,0.92,PER_100000
2016,0.46,PER_100000
2021,0.0,PER_100000
2018,0.64,PER_100000
2013,1.06,PER_100000
2017,0.92,PER_100000
2010,1.61,PER_100000
2019,0.23,PER_100000
2014,1.1,PER_100000
2015,0.69,PER_100000
2011,1.06,PER_100000
