Year,Value,Units,GeoCode
2019,0.9,PT,
2020,0.8,PT,
2015,0.8,PT,
2011,0.7,PT,
2012,0.9,PT,
2018,0.9,PT,
2010,0.7,PT,
2016,0.8,PT,
2017,1.0,PT,
2022,0.9,PT,
2013,0.9,PT,
2021,0.9,PT,
2014,0.8,PT,
2023,0.9,PT,
