Year,Value,Units,GeoCode
2012,1.1,PT,
2013,1.1,PT,
2017,1.6,PT,
2016,1.2,PT,
2010,0.8,PT,
2019,2.1,PT,
2011,0.8,PT,
2014,1.0,PT,
2021,2.9,PT,
2015,1.1,PT,
2020,2.6,PT,
2018,1.7,PT,
