Year,Value,Units,Series
2010,27.8,IX,ES_090401_05
2011,14.4,IX,ES_090401_05
2012,20.9,IX,ES_090401_05
2013,10.2,IX,ES_090401_05
2014,9.1,IX,ES_090401_05
2015,11.4,IX,ES_090401_05
2016,11.1,IX,ES_090401_05
2017,16.2,IX,ES_090401_05
2018,12.8,IX,ES_090401_05
2019,18.7,IX,ES_090401_05
2020,4.5,IX,ES_090401_05
2021,13.5,IX,ES_090401_05
2022,22.5,IX,ES_090401_05
