Year,Value,Units
2013,42.7,PT
2018,49.7,PT
2016,49.3,PT
2017,49.0,PT
2014,47.5,PT
2019,48.8,PT
2011,43.1,PT
2012,44.2,PT
2015,50.3,PT
2010,43.5,PT
