Year,Value,Units,Series
2011,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2014,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2017,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2020,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2010,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2022,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2015,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2016,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2021,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2018,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2012,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2019,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2013,0.2,KG_CO2_PER_GDP_EUR,EN_ATM_CO2GDP
2010,0.5,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2011,0.4,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2012,0.5,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2013,0.5,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2014,0.5,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2015,0.5,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2016,0.4,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2017,0.4,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2018,0.4,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2019,0.4,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2020,0.4,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2021,0.4,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
2022,0.4,KG_CO2_PER_GDP_EUR,EN_ATM_CO2MVA
