Year,Value,Units
2013,0.6,PC
2010,1.6,PC
2017,0.8,PC
2012,0.9,PC
2022,3.7,PC
2018,0.9,PC
2014,0.9,PC
2011,1.5,PC
2019,1.1,PC
2021,4.8,PC
2016,1.2,PC
2020,-7.8,PC
2015,0.9,PC
