Year,Value,Units
2024,15.5,PT
2023,15.1,PT
2022,15.7,PT
2021,15.9,PT
2020,13.9,PT
2019,14.4,PT
2018,12.1,PT
2017,14.5,PT
2016,15.9,PT
2015,17.6,PT
2014,15.3,PT
2013,16.8,PT
2012,17.7,PT
2011,18.9,PT
2010,16.3,PT
2009,14.8,PT
2008,13.9,PT
