Year,Value,Units,Series
2010,32.77,PT,_L_ES_010A02_02
2011,32.7,PT,_L_ES_010A02_02
2012,33.4,PT,_L_ES_010A02_02
2013,35.29,PT,_L_ES_010A02_02
2014,34.49,PT,_L_ES_010A02_02
2015,35.25,PT,_L_ES_010A02_02
2016,34.92,PT,_L_ES_010A02_02
2017,34.64,PT,_L_ES_010A02_02
2018,36.02,PT,_L_ES_010A02_02
2019,37.2,PT,_L_ES_010A02_02
2020,37.99,PT,_L_ES_010A02_02
2021,38.56,PT,_L_ES_010A02_02
