Year,Value,Units
2018,100.0,PT
2011,100.3,PT
2021,99.1,PT
2015,99.6,PT
2019,99.8,PT
2020,99.8,PT
2017,99.8,PT
2010,100.1,PT
2012,99.7,PT
2023,101.0,PT
2022,99.6,PT
2024,99.4,PT
2016,100.0,PT
2014,99.3,PT
2013,99.8,PT
