Year,Value,Units
2013,177555343,LITRES
2022,178506380,LITRES
2021,176421751,LITRES
2016,180637435,LITRES
2020,163675651,LITRES
2017,180334331,LITRES
2018,179965484,LITRES
2019,178194264,LITRES
