Year,Value,Units,Series,GeoCode
2013,177555343.0,LITRES,EU_H2O_CM,
2022,178506380.3,LITRES,EU_H2O_CM,
2021,176421751.0,LITRES,EU_H2O_CM,
2016,180637435.0,LITRES,EU_H2O_CM,
2020,163675650.5,LITRES,EU_H2O_CM,
2017,180334331.0,LITRES,EU_H2O_CM,
2018,179965484.0,LITRES,EU_H2O_CM,
2019,178194263.7,LITRES,EU_H2O_CM,
2019,177.6,LITRES_PER_CAPITA_DAY,EU_H2O_DBCM_PC,
2015,179.3,LITRES_PER_CAPITA_DAY,EU_H2O_DBCM_PC,
2018,178.1,LITRES_PER_CAPITA_DAY,EU_H2O_DBCM_PC,
2017,179.7,LITRES_PER_CAPITA_DAY,EU_H2O_DBCM_PC,
2014,179.4,LITRES_PER_CAPITA_DAY,EU_H2O_DBCM_PC,
2012,184.4,LITRES_PER_CAPITA_DAY,EU_H2O_DBCM_PC,
2011,184.4,LITRES_PER_CAPITA_DAY,EU_H2O_DBCM_PC,
2016,180.8,LITRES_PER_CAPITA_DAY,EU_H2O_DBCM_PC,
