Year,Value,Units
2015,36.4,PT
2019,44.7,PT
2021,45.4,PT
2013,28.2,PT
2020,47.2,PT
2017,39.3,PT
2016,38.0,PT
2022,47.4,PT
2011,25.6,PT
2018,41.5,PT
2010,24.7,PT
2012,28.5,PT
2014,33.3,PT
