Year,Value,Units,Series,Progress
2009,33.2,PT,SP_GNP_WNOWNS,66.8
2009,54.5,PT,SP_LGL_LNDAGSEC,54.5
2016,51.7,PT,SP_LGL_LNDAGSEC,51.7
2020,30.6,PT,SP_GNP_WNOWNS,69.4
2023,43.2,PT,SP_LGL_LNDAGSEC,56.8
2016,38.2,PT,SP_GNP_WNOWNS,61.8
2023,32.9,PT,SP_GNP_WNOWNS,67.1
2020,47.9,PT,SP_LGL_LNDAGSEC,52.1
2013,57.5,PT,SP_LGL_LNDAGSEC,57.5
2013,37.4,PT,SP_GNP_WNOWNS,62.6
