Year,Value,Units,Series
2008,8.77,PT,_L_ES_010201_1A
2012,8.8,PT,_L_ES_010201_1A
2014,10.34,PT,_L_ES_010201_1A
2016,8.96,PT,_L_ES_010201_1A
2018,10.16,PT,_L_ES_010201_1A
2020,9.84,PT,_L_ES_010201_1A
2022,10.61,PT,_L_ES_010201_1A
