Year,Value,Units,Series
2015,1.0,Milioi euroak,Pobrezia murriztera bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2016,1.01,Milioi euroak,Pobrezia murriztera bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
