Year,Value,Units,Series,GeoCode
2010,54.9,PT,Baso-azalera azalera osoaren proportzioan,
2022,54.8,PT,Baso-azalera azalera osoaren proportzioan,
2020,54.7,PT,Baso-azalera azalera osoaren proportzioan,
2018,54.2,PT,Baso-azalera azalera osoaren proportzioan,
2019,54.5,PT,Baso-azalera azalera osoaren proportzioan,
2021,54.8,PT,Baso-azalera azalera osoaren proportzioan,
2016,54.9,PT,Baso-azalera azalera osoaren proportzioan,
