Year,Value,Units,Series,GeoCode
2014,1.3,Porcentaje,EU_SDG_02_40,
2010,0.8,Porcentaje,EU_SDG_02_40,
2021,3.5,Porcentaje,EU_SDG_02_40,
2018,2.0,Porcentaje,EU_SDG_02_40,
2019,2.5,Porcentaje,EU_SDG_02_40,
2013,1.2,Porcentaje,EU_SDG_02_40,
2012,1.1,Porcentaje,EU_SDG_02_40,
2023,4.8,Porcentaje,EU_SDG_02_40,
2016,1.5,Porcentaje,EU_SDG_02_40,
2009,0.7,Porcentaje,EU_SDG_02_40,
2011,0.9,Porcentaje,EU_SDG_02_40,
2020,3.0,Porcentaje,EU_SDG_02_40,
2015,1.3,Porcentaje,EU_SDG_02_40,
2022,4.1,Porcentaje,EU_SDG_02_40,
2017,1.9,Porcentaje,EU_SDG_02_40,
2008,0.6,Porcentaje,EU_SDG_02_40,
