Year,Value,Units,Series
2008,12.58,Porcentaje,_L_ES_010202_1A
2012,14.71,Porcentaje,_L_ES_010202_1A
2014,16.67,Porcentaje,_L_ES_010202_1A
2016,15.59,Porcentaje,_L_ES_010202_1A
2018,15.12,Porcentaje,_L_ES_010202_1A
2020,13.38,Porcentaje,_L_ES_010202_1A
2022,14.59,Porcentaje,_L_ES_010202_1A
