Year,Value,Units,Series
2010,-17.19,IX,CO2 isurketak 2005. urtearekiko
2011,-25.9,IX,CO2 isurketak 2005. urtearekiko
2012,-21.64,IX,CO2 isurketak 2005. urtearekiko
2013,-28.59,IX,CO2 isurketak 2005. urtearekiko
2014,-29.31,IX,CO2 isurketak 2005. urtearekiko
2015,-27.84,IX,CO2 isurketak 2005. urtearekiko
2016,-28.02,IX,CO2 isurketak 2005. urtearekiko
2017,-25.72,IX,CO2 isurketak 2005. urtearekiko
2018,-26.89,IX,CO2 isurketak 2005. urtearekiko
2019,-23.06,IX,CO2 isurketak 2005. urtearekiko
2020,-32.28,IX,CO2 isurketak 2005. urtearekiko
2021,-26.48,IX,CO2 isurketak 2005. urtearekiko
2022,-20.65,IX,CO2 isurketak 2005. urtearekiko
