Year,Value,Units
2010,8.08,pH-a
2011,8.08,pH-a
2012,8.08,pH-a
2013,8.08,pH-a
2014,8.07,pH-a
2015,8.07,pH-a
2016,8.07,pH-a
2017,8.07,pH-a
2018,8.06,pH-a
2019,8.06,pH-a
2020,8.05,pH-a
2021,8.05,pH-a
2022,8.05,pH-a
2023,8.05,pH-a
2024,8.05,pH-a
