Year,Value,Units,Series
2013,5.9,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2020,3.8,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2011,5.5,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2019,6.4,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2015,6.3,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2018,6.3,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2022,5.5,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2012,5.8,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2014,6.1,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2017,6.4,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2016,6.5,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2010,5.4,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2021,4.0,PT,"Turismoak sortutako BPG, BPG osoaren proportzioan"
2013,0.6,PT,Turismoak sortutako BPGren hazkunde-tasa
2011,2.2,PT,Turismoak sortutako BPGren hazkunde-tasa
2022,49.3,PT,Turismoak sortutako BPGren hazkunde-tasa
2021,16.6,PT,Turismoak sortutako BPGren hazkunde-tasa
2012,3.2,PT,Turismoak sortutako BPGren hazkunde-tasa
2019,4.0,PT,Turismoak sortutako BPGren hazkunde-tasa
2020,-46.5,PT,Turismoak sortutako BPGren hazkunde-tasa
2016,6.4,PT,Turismoak sortutako BPGren hazkunde-tasa
2018,2.6,PT,Turismoak sortutako BPGren hazkunde-tasa
2014,4.3,PT,Turismoak sortutako BPGren hazkunde-tasa
2015,8.3,PT,Turismoak sortutako BPGren hazkunde-tasa
2017,2.9,PT,Turismoak sortutako BPGren hazkunde-tasa
