Year,Value,Units,Series
2016,82.6,%,EU_H20_COVNAC
2017,84.0,%,EU_H20_COVNAC
2018,81.9,%,EU_H20_COVNAC
2019,82.1,%,EU_H20_COVNAC
2020,81.3,%,EU_H20_COVNAC
2021,81.3,%,EU_H20_COVNAC
2022,76.1,%,EU_H20_COVNAC
2023,76.6,%,EU_H20_COVNAC
