Year,Value,Units
2024,15.5,Porcentaje
2023,15.1,Porcentaje
2022,15.7,Porcentaje
2021,15.9,Porcentaje
2020,13.9,Porcentaje
2019,14.4,Porcentaje
2018,12.1,Porcentaje
2017,14.5,Porcentaje
2016,15.9,Porcentaje
2015,17.6,Porcentaje
2014,15.3,Porcentaje
2013,16.8,Porcentaje
2012,17.7,Porcentaje
2011,18.9,Porcentaje
2010,16.3,Porcentaje
2009,14.8,Porcentaje
2008,13.9,Porcentaje
