Year,Value,Units,Series
2022,93,ORGANISATIONS,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua
2023,99,ORGANISATIONS,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua
2021,85,ORGANISATIONS,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua
2021,57,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2017,43,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2023,61,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2020,55,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2013,18,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2010,13,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2018,52,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2016,40,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2015,19,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2012,16,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2022,58,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2019,51,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2011,15,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2014,19,LICENCES,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
