Year,Value,Units,Series
2008,10.33,Porcentaje,_L_ES_010201_2B
2012,12.5,Porcentaje,_L_ES_010201_2B
2016,14.29,Porcentaje,_L_ES_010201_2B
2020,16.37,Porcentaje,_L_ES_010201_2B
