Year,Value,Units
2014,70.0,Porcentaje
2021,72.5,Porcentaje
2020,72.0,Porcentaje
2017,70.1,Porcentaje
2015,70.3,Porcentaje
2016,70.5,Porcentaje
2018,71.0,Porcentaje
2012,69.3,Porcentaje
2019,71.2,Porcentaje
