Year,Series,Tipo de tecnología renovable,Territorio,Comarca,Municipio,Units,GeoCode,Value
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,278.2
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,278.9
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,276.0
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,305.3
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,255.6
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,260.2
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,281.6
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,294.9
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,262.2
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,330.1
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,51.4
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,71.5
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,68.3
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,51.9
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,51.9
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,51.8
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,50.6
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,51.7
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,51.6
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,51.3
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,52.1
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,51.6
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leioa,Watts per cápita,Leioa,51.6
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,40.1
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,49.5
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,55.0
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,39.3
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,39.2
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,40.1
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,40.2
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,39.4
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,39.9
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,56.0
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,40.2
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,39.1
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lekeitio,Watts per cápita,Lekeitio,55.7
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,0.9
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,14.4
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,0.0
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,55.7
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,14.3
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,55.5
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,14.3
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,14.6
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,14.4
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,14.1
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,0.0
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,14.6
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoa,Watts per cápita,Lemoa,43.1
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,136.6
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,98.1
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,97.7
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,136.6
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,110.0
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,97.3
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,97.6
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,114.4
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,104.9
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,97.4
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,109.9
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,101.4
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lemoiz,Watts per cápita,Lemoiz,96.3
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,9.1
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,9.2
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,9.2
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,9.4
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,9.0
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,9.2
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,9.5
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,0.0
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,0.0
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,9.3
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,9.3
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,0.0
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Leza,Watts per cápita,Leza,8.9
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,283.4
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,287.2
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,380.9
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,387.7
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,283.9
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,281.6
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,1125.2
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,1044.2
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,277.6
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,285.8
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,289.4
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,287.2
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezama,Watts per cápita,Lezama,184.7
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,16.5
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,56.3
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,16.6
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,56.2
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,55.6
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,55.0
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,61.3
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,54.5
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,61.3
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,55.8
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,54.6
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,60.8
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lezo,Watts per cápita,Lezo,55.7
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,1.5
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,13.9
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,0.0
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,13.9
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,14.0
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,0.0
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,14.0
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,15.2
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,5645.2
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,5593.6
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,1.5
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,169.8
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Lizartza,Watts per cápita,Lizartza,14.1
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,24.8
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,165.2
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,43.3
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,27.0
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,210.3
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,193.9
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,5885.1
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,25.8
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,42.2
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,128.7
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,181.3
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,5780.2
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Loiu,Watts per cápita,Loiu,24.8
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,2874.8
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,3071.6
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,2968.5
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,2920.5
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,3058.5
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,3042.9
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,3716.1
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,3074.2
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,2950.1
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,3037.8
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,2885.0
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,2880.3
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mallabia,Watts per cápita,Mallabia,3068.6
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,5.8
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,5.8
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,5.8
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,5.8
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,5.8
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,5.8
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,184.9
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,0.0
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,6.0
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,0.0
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,186.3
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,5.9
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mañaria,Watts per cápita,Mañaria,0.0
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,97.9
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,136.5
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,56.0
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,69.3
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,68.6
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,103.7
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,103.9
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,136.8
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,56.1
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,42.8
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,68.6
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,68.1
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,40.7
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,602.8
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,764.8
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,534.6
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,802.4
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,1912.5
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,597.7
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,1635.8
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,614.0
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,559.2
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,598.3
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,608.7
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,593.9
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,606.7
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,669.8
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,183.9
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,76.1
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,186.6
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,624.3
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,634.0
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,77.5
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,74.6
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,896.1
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,628.1
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,626.9
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,911.4
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendaro,Watts per cápita,Mendaro,186.5
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,125.9
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,122.9
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendata,Watts per cápita,Mendata,0.0
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendexa,Watts per cápita,Mendexa,0.0
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendexa,Watts per cápita,Mendexa,0.0
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),Fotovoltaica,,,Mendexa,Watts per cápita,Mendexa,447.9
