Year,Series,Tipo de tecnología renovable,Territorio,Comarca,Municipio,Units,GeoCode,Value
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Abanto y Ciérvana-Abanto Zierbena,Watts per cápita,Abanto y Ciérvana-Abanto Zierbena,150.7
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Abanto y Ciérvana-Abanto Zierbena,Watts per cápita,Abanto y Ciérvana-Abanto Zierbena,454.1
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Abanto y Ciérvana-Abanto Zierbena,Watts per cápita,Abanto y Ciérvana-Abanto Zierbena,285.4
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,362.4
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,4614.3
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,341.6
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,364.2
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,343.0
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,345.2
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,343.8
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,343.9
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,362.4
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,350.3
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,4805.4
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,353.3
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aduna,Watts per cápita,Aduna,343.8
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4699.6
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4866.8
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4850.0
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4730.1
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4980.3
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4824.4
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,6032.4
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4827.7
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4776.8
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4694.2
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,4649.9
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,5503.3
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Agurain/Salvatierra,Watts per cápita,Agurain/Salvatierra,5479.1
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,399.5
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,302.8
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,381.2
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,283.0
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,612.9
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,268.3
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,309.2
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,464.5
