Year,Series,Hondakinen tratamendua,Lurralde historikoa,Units,Value
2019,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2014,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2012,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2017,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2013,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2020,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2022,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,33.3
2010,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,24.7
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,47.2
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,28.2
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,38.0
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,36.4
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,47.4
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,41.5
2012,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,28.5
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,44.7
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,45.4
2011,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,25.6
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,,PT,39.3
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,24.2
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,38.4
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,31.5
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,38.9
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,39.2
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,30.6
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,27.0
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,33.7
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,31.3
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,44.9
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,26.6
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,37.9
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,37.1
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,28.7
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,31.2
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,39.2
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,38.1
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,34.8
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,35.8
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,28.2
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,69.3
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,52.9
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,48.3
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,48.7
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,59.3
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,63.4
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,63.5
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,31.9
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,41.9
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,48.4
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,32.5
2012,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,20.9
2011,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,23.3
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,33.9
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,26.6
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,24.3
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,25.6
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,22.8
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,27.9
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,30.8
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,23.5
2010,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,21.4
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,24.7
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,3.7
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,2.9
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,4.3
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,4.4
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,4.2
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,1.6
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,3.5
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,1.3
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,4.4
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,2.1
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,42.2
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,49.4
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,44.2
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,43.0
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,43.8
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,39.6
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,41.2
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,42.5
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,41.9
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,41.2
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,21.9
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,6.9
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,7.4
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,6.9
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,9.3
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,29.8
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,30.1
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,5.6
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,5.4
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,1.1
2010,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,53.9
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,37.3
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,21.9
2011,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,51.1
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,36.4
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,41.2
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,45.2
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,18.6
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,31.7
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,22.1
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,35.7
2012,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,50.7
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,PT,35.6
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,58.7
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,61.8
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,58.8
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,72.1
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,64.0
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,65.1
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,59.5
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,53.8
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,69.5
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,64.5
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,24.5
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,21.0
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,26.4
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,27.6
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,21.9
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,23.3
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,21.7
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,17.0
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,19.7
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,PT,30.4
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,6.6
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,8.8
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,6.6
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,41.4
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,44.7
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,39.6
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,50.7
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,45.9
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,58.8
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,44.8
