Year,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2023,,,Maruri-Jatabe,Euroak,Maruri-Jatabe,1562.0
2022,,,Mendata,Euroak,Mendata,1059.0
2023,,,Mendata,Euroak,Mendata,1149.8
2022,,,Mendexa,Euroak,Mendexa,1169.8
2023,,,Mendexa,Euroak,Mendexa,1352.0
2022,,,Meñaka,Euroak,Meñaka,1373.9
2023,,,Meñaka,Euroak,Meñaka,1514.6
2022,,,Ugao-Miraballes,Euroak,Ugao-Miraballes,1335.1
2023,,,Ugao-Miraballes,Euroak,Ugao-Miraballes,1452.8
2022,,,Morga,Euroak,Morga,1177.2
2023,,,Morga,Euroak,Morga,1305.1
2022,,,Muxika,Euroak,Muxika,1133.9
2023,,,Muxika,Euroak,Muxika,1248.1
2022,,,Mundaka,Euroak,Mundaka,1284.3
2023,,,Mundaka,Euroak,Mundaka,1428.5
2022,,,Mungia,Euroak,Mungia,1422.5
2023,,,Mungia,Euroak,Mungia,1556.9
2022,,Plentzia-Mungia,,Euroak,Plentzia-Mungia,1441.8
2023,,Plentzia-Mungia,,Euroak,Plentzia-Mungia,1583.3
2022,,,Aulesti,Euroak,Aulesti,1064.6
2023,,,Aulesti,Euroak,Aulesti,1161.7
2022,,,Muskiz,Euroak,Muskiz,1393.6
2023,,,Muskiz,Euroak,Muskiz,1524.2
2022,,,Otxandio,Euroak,Otxandio,1206.2
2023,,,Otxandio,Euroak,Otxandio,1329.6
2022,,,Ondarroa,Euroak,Ondarroa,1154.7
2023,,,Ondarroa,Euroak,Ondarroa,1264.7
2022,,,Urduña/Orduña,Euroak,Urduña/Orduña,1330.0
2023,,,Urduña/Orduña,Euroak,Urduña/Orduña,1481.2
2022,,,Orozko,Euroak,Orozko,1328.8
2023,,,Orozko,Euroak,Orozko,1470.0
2022,,,Sukarrieta,Euroak,Sukarrieta,1354.1
2023,,,Sukarrieta,Euroak,Sukarrieta,1461.0
2022,,,Plentzia,Euroak,Plentzia,1544.1
2023,,,Plentzia,Euroak,Plentzia,1703.1
2022,,,Portugalete,Euroak,Portugalete,1375.9
2023,,,Portugalete,Euroak,Portugalete,1504.4
2022,,,Errigoiti,Euroak,Errigoiti,1130.5
2023,,,Errigoiti,Euroak,Errigoiti,1272.6
2022,,,Valle de Trápaga-Trapagaran,Euroak,Valle de Trápaga-Trapagaran,1370.8
2023,,,Valle de Trápaga-Trapagaran,Euroak,Valle de Trápaga-Trapagaran,1501.7
2022,,,Lezama,Euroak,Lezama,1390.8
2023,,,Lezama,Euroak,Lezama,1534.5
2022,,,Santurtzi,Euroak,Santurtzi,1353.8
2023,,,Santurtzi,Euroak,Santurtzi,1479.3
2022,,,Ortuella,Euroak,Ortuella,1358.3
2023,,,Ortuella,Euroak,Ortuella,1484.4
2022,,,Sestao,Euroak,Sestao,1330.3
2023,,,Sestao,Euroak,Sestao,1448.3
2022,,,Sopela,Euroak,Sopela,1500.7
2023,,,Sopela,Euroak,Sopela,1649.8
2022,,,Sopuerta,Euroak,Sopuerta,1295.6
2023,,,Sopuerta,Euroak,Sopuerta,1412.2
2022,,,Trucios-Turtzioz,Euroak,Trucios-Turtzioz,1159.7
2023,,,Trucios-Turtzioz,Euroak,Trucios-Turtzioz,1288.1
2022,,,Ubide,Euroak,Ubide,1150.9
2023,,,Ubide,Euroak,Ubide,1237.1
2022,,,Urduliz,Euroak,Urduliz,1440.2
2023,,,Urduliz,Euroak,Urduliz,1578.9
2022,,,Balmaseda,Euroak,Balmaseda,1185.7
2023,,,Balmaseda,Euroak,Balmaseda,1313.9
2022,,,Atxondo,Euroak,Atxondo,1411.0
2023,,,Atxondo,Euroak,Atxondo,1570.6
2022,,,Bedia,Euroak,Bedia,1283.4
2023,,,Bedia,Euroak,Bedia,1413.4
2022,,,Areatza,Euroak,Areatza,1353.4
2023,,,Areatza,Euroak,Areatza,1499.0
2022,,,Igorre,Euroak,Igorre,1416.0
2023,,,Igorre,Euroak,Igorre,1546.5
2022,,,Zaldibar,Euroak,Zaldibar,1406.7
2023,,,Zaldibar,Euroak,Zaldibar,1545.6
2022,,,Zalla,Euroak,Zalla,1376.4
2023,,,Zalla,Euroak,Zalla,1503.5
2022,,,Zaratamo,Euroak,Zaratamo,1412.5
2023,,,Zaratamo,Euroak,Zaratamo,1547.7
2022,,,Derio,Euroak,Derio,1228.0
2023,,,Derio,Euroak,Derio,1342.7
2022,,,Erandio,Euroak,Erandio,1257.6
2023,,,Erandio,Euroak,Erandio,1371.1
2022,,,Loiu,Euroak,Loiu,1381.1
2023,,,Loiu,Euroak,Loiu,1524.5
2022,,,Sondika,Euroak,Sondika,1345.5
2023,,,Sondika,Euroak,Sondika,1501.2
2022,,,Zamudio,Euroak,Zamudio,1290.7
2023,,,Zamudio,Euroak,Zamudio,1412.4
2022,,,Forua,Euroak,Forua,1234.8
2023,,,Forua,Euroak,Forua,1408.6
2022,,,Kortezubi,Euroak,Kortezubi,1089.9
2023,,,Kortezubi,Euroak,Kortezubi,1184.9
2022,,,Murueta,Euroak,Murueta,1419.4
2023,,,Murueta,Euroak,Murueta,1559.8
2022,,,Nabarniz,Euroak,Nabarniz,1065.5
2023,,,Nabarniz,Euroak,Nabarniz,1158.6
2022,,,Iurreta,Euroak,Iurreta,1358.0
2023,,,Iurreta,Euroak,Iurreta,1481.0
2022,,,Ajangiz,Euroak,Ajangiz,1230.7
2023,,,Ajangiz,Euroak,Ajangiz,1354.2
2022,,,Alonsotegi,Euroak,Alonsotegi,1232.0
2023,,,Alonsotegi,Euroak,Alonsotegi,1358.5
2022,,,Zierbena,Euroak,Zierbena,1511.9
2023,,,Zierbena,Euroak,Zierbena,1620.5
2022,,,Arratzu,Euroak,Arratzu,1207.9
2023,,,Arratzu,Euroak,Arratzu,1306.5
2022,,,Ziortza-Bolibar,Euroak,Ziortza-Bolibar,1162.4
2023,,,Ziortza-Bolibar,Euroak,Ziortza-Bolibar,1309.2
2022,,,,Euroak,,1354.2
2023,,,,Euroak,,1485.8
