Year,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2023,,,San Millán/Donemiliaga,Euroak,San Millán/Donemiliaga,1140.7
2022,,,Urkabustaiz,Euroak,Urkabustaiz,1216.0
2023,,,Urkabustaiz,Euroak,Urkabustaiz,1323.9
2022,,,Valdegovía/Gaubea,Euroak,Valdegovía/Gaubea,995.9
2023,,,Valdegovía/Gaubea,Euroak,Valdegovía/Gaubea,1128.7
2022,,,Harana/Valle de Arana,Euroak,Harana/Valle de Arana,759.5
2023,,,Harana/Valle de Arana,Euroak,Harana/Valle de Arana,841.4
2022,,,Villabuena de Álava/Eskuernaga,Euroak,Villabuena de Álava/Eskuernaga,830.6
2023,,,Villabuena de Álava/Eskuernaga,Euroak,Villabuena de Álava/Eskuernaga,947.4
2022,,,Legutio,Euroak,Legutio,1437.0
2023,,,Legutio,Euroak,Legutio,1564.7
2022,,,Vitoria-Gasteiz,Euroak,Vitoria-Gasteiz,1401.0
2023,,,Vitoria-Gasteiz,Euroak,Vitoria-Gasteiz,1537.1
2022,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euroak,Arabako Kantaurialdea / Cantábrica Alavesa,1436.9
2023,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euroak,Arabako Kantaurialdea / Cantábrica Alavesa,1567.8
2022,,,Yécora/Iekora,Euroak,Yécora/Iekora,808.7
2023,,,Yécora/Iekora,Euroak,Yécora/Iekora,905.8
2022,,,Zalduondo,Euroak,Zalduondo,1254.0
2023,,,Zalduondo,Euroak,Zalduondo,1396.8
2022,,,Zambrana,Euroak,Zambrana,1175.8
2023,,,Zambrana,Euroak,Zambrana,1283.2
2022,,,Zuia,Euroak,Zuia,1380.2
2023,,,Zuia,Euroak,Zuia,1555.8
2022,,,Iruña Oka/Iruña de Oca,Euroak,Iruña Oka/Iruña de Oca,1281.7
2023,,,Iruña Oka/Iruña de Oca,Euroak,Iruña Oka/Iruña de Oca,1424.0
2022,,,Lantarón,Euroak,Lantarón,1001.2
2023,,,Lantarón,Euroak,Lantarón,1133.9
2022,Gipuzkoa,,,Euroak,Gipuzkoa,1331.1
2023,Gipuzkoa,,,Euroak,Gipuzkoa,1461.8
2022,,,Abaltzisketa,Euroak,Abaltzisketa,1287.0
2023,,,Abaltzisketa,Euroak,Abaltzisketa,1419.5
2022,,,Aduna,Euroak,Aduna,1261.7
2023,,,Aduna,Euroak,Aduna,1368.6
2022,,,Aizarnazabal,Euroak,Aizarnazabal,1360.9
2023,,,Aizarnazabal,Euroak,Aizarnazabal,1483.2
2022,,,Albiztur,Euroak,Albiztur,1215.5
2023,,,Albiztur,Euroak,Albiztur,1349.4
2022,,,Alegia,Euroak,Alegia,1193.9
