Year,Series,Hondakinen tratamendua,Lurralde historikoa,Units,Value
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,PT,64.7
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,PT,66.6
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,PT,65.0
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,PT,68.7
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,PT,66.7
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,54.7
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,50.6
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,51.3
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,34.5
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,54.9
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,63.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,60.1
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,50.2
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,54.8
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,59.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,PT,43.6
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,75.7
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,71.3
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,69.4
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,62.5
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,69.9
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,71.0
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,60.9
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,71.2
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,69.9
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,63.4
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,PT,70.8
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,76.9
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,60.3
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,56.6
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,61.6
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,62.7
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,58.9
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,56.8
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,47.7
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,64.6
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,68.9
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,PT,63.8
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,0.5
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,0.9
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,0.9
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,1.1
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,0.5
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,1.0
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,0.5
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,0.2
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,1.0
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,1.8
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,PT,1.0
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,0.6
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,0.4
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,0.6
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,0.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,1.1
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,0.7
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,0.1
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,0.4
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,0.3
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,2.9
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,PT,0.5
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,1.3
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,1.5
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,1.1
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,1.5
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,0.3
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,1.3
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,1.2
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,0.7
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,2.1
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,0.1
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,PT,0.7
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.5
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.2
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.1
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.4
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.2
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.4
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.4
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.2
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,1.3
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.4
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,PT,0.3
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,39.6
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,29.9
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,38.1
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,32.2
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,35.2
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,31.5
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,34.2
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,33.7
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,30.6
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,32.6
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,PT,34.6
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,36.3
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,43.5
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,48.0
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,43.4
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,38.2
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,44.0
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,44.5
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,48.6
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,40.3
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,49.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,PT,53.1
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,27.6
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,29.4
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,28.4
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,35.9
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,27.3
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,27.4
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,37.7
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,29.4
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,36.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,24.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,PT,26.4
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,40.7
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,42.8
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,34.6
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,21.5
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,30.8
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,35.1
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,35.5
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,37.3
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,42.1
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,50.9
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,PT,36.0
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.1
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.8
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.1
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,4.2
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.2
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.8
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.1
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.3
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,PT,0.6
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,0.4
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,0.6
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,21.9
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,1.1
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,0.1
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,0.5
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,0.1
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,0.6
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,0.4
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,0.4
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,PT,0.3
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.1
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.1
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.3
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.0
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.4
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.4
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.1
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.1
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.8
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,PT,0.1
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,PT,1.2
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,PT,0.3
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,PT,2.4
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,PT,1.5
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,PT,0.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,PT,0.2
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,PT,2.0
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,PT,0.2
