Year,Lurraldea,Eskualdea,Udalerria,Units,GeoCode,Value
2014,,,Albiztur,Ehunekoa,Albiztur,0.0
2015,,,Albiztur,Ehunekoa,Albiztur,0.0
2016,,,Albiztur,Ehunekoa,Albiztur,0.0
2017,,,Albiztur,Ehunekoa,Albiztur,0.0
2018,,,Albiztur,Ehunekoa,Albiztur,0.0
2019,,,Albiztur,Ehunekoa,Albiztur,0.0
2020,,,Albiztur,Ehunekoa,Albiztur,0.0
2021,,,Albiztur,Ehunekoa,Albiztur,0.0
2010,,,Alegia,Ehunekoa,Alegia,0.0
2011,,,Alegia,Ehunekoa,Alegia,0.0
2012,,,Alegia,Ehunekoa,Alegia,0.0
2013,,,Alegia,Ehunekoa,Alegia,0.0
2014,,,Alegia,Ehunekoa,Alegia,0.0
2015,,,Alegia,Ehunekoa,Alegia,0.0
2016,,,Alegia,Ehunekoa,Alegia,0.0
2017,,,Alegia,Ehunekoa,Alegia,0.27
2018,,,Alegia,Ehunekoa,Alegia,0.27
2019,,,Alegia,Ehunekoa,Alegia,0.27
2020,,,Alegia,Ehunekoa,Alegia,0.27
2021,,,Alegia,Ehunekoa,Alegia,0.27
2010,,,Alkiza,Ehunekoa,Alkiza,0.13
2011,,,Alkiza,Ehunekoa,Alkiza,0.13
2012,,,Alkiza,Ehunekoa,Alkiza,0.13
2013,,,Alkiza,Ehunekoa,Alkiza,0.13
2014,,,Alkiza,Ehunekoa,Alkiza,0.13
2015,,,Alkiza,Ehunekoa,Alkiza,0.13
2016,,,Alkiza,Ehunekoa,Alkiza,0.13
2017,,,Alkiza,Ehunekoa,Alkiza,0.13
2018,,,Alkiza,Ehunekoa,Alkiza,0.13
2019,,,Alkiza,Ehunekoa,Alkiza,0.13
2020,,,Alkiza,Ehunekoa,Alkiza,0.22
2021,,,Alkiza,Ehunekoa,Alkiza,0.22
2010,,,Altzo,Ehunekoa,Altzo,8.8
2011,,,Altzo,Ehunekoa,Altzo,8.63
2012,,,Altzo,Ehunekoa,Altzo,9.01
2013,,,Altzo,Ehunekoa,Altzo,9.01
2014,,,Altzo,Ehunekoa,Altzo,8.86
2015,,,Altzo,Ehunekoa,Altzo,7.92
2016,,,Altzo,Ehunekoa,Altzo,8.29
2017,,,Altzo,Ehunekoa,Altzo,8.46
2018,,,Altzo,Ehunekoa,Altzo,7.96
2019,,,Altzo,Ehunekoa,Altzo,14.47
2020,,,Altzo,Ehunekoa,Altzo,14.86
2021,,,Altzo,Ehunekoa,Altzo,14.86
2010,,,Amezketa,Ehunekoa,Amezketa,0.0
2011,,,Amezketa,Ehunekoa,Amezketa,0.0
2012,,,Amezketa,Ehunekoa,Amezketa,0.0
2013,,,Amezketa,Ehunekoa,Amezketa,0.0
2014,,,Amezketa,Ehunekoa,Amezketa,0.0
2015,,,Amezketa,Ehunekoa,Amezketa,0.0
2016,,,Amezketa,Ehunekoa,Amezketa,0.0
2017,,,Amezketa,Ehunekoa,Amezketa,0.0
2018,,,Amezketa,Ehunekoa,Amezketa,0.0
2019,,,Amezketa,Ehunekoa,Amezketa,0.4
2020,,,Amezketa,Ehunekoa,Amezketa,0.4
2021,,,Amezketa,Ehunekoa,Amezketa,0.4
2010,,,Andoain,Ehunekoa,Andoain,2.37
2011,,,Andoain,Ehunekoa,Andoain,2.42
2012,,,Andoain,Ehunekoa,Andoain,2.45
2013,,,Andoain,Ehunekoa,Andoain,2.45
2014,,,Andoain,Ehunekoa,Andoain,2.58
2015,,,Andoain,Ehunekoa,Andoain,2.55
2016,,,Andoain,Ehunekoa,Andoain,2.56
2017,,,Andoain,Ehunekoa,Andoain,2.62
2018,,,Andoain,Ehunekoa,Andoain,2.77
2019,,,Andoain,Ehunekoa,Andoain,2.95
2020,,,Andoain,Ehunekoa,Andoain,2.92
2021,,,Andoain,Ehunekoa,Andoain,2.75
2010,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,0.02
2011,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,0.04
2012,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,0.04
2013,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,0.36
2014,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,0.43
2015,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,0.42
2016,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,0.45
2017,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,5.15
2018,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,5.62
2019,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,11.3
2020,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,11.06
2021,,Bidasoa Beherea / Bajo Bidasoa,,Ehunekoa,Bidasoa Beherea / Bajo Bidasoa,11.38
2010,,,Anoeta,Ehunekoa,Anoeta,4.47
2011,,,Anoeta,Ehunekoa,Anoeta,4.62
2012,,,Anoeta,Ehunekoa,Anoeta,4.7
2013,,,Anoeta,Ehunekoa,Anoeta,4.7
2014,,,Anoeta,Ehunekoa,Anoeta,4.98
2015,,,Anoeta,Ehunekoa,Anoeta,4.97
2016,,,Anoeta,Ehunekoa,Anoeta,5.58
2017,,,Anoeta,Ehunekoa,Anoeta,4.74
2018,,,Anoeta,Ehunekoa,Anoeta,4.87
2019,,,Anoeta,Ehunekoa,Anoeta,5.63
2020,,,Anoeta,Ehunekoa,Anoeta,6.41
2021,,,Anoeta,Ehunekoa,Anoeta,6.41
2010,,,Antzuola,Ehunekoa,Antzuola,4.54
2011,,,Antzuola,Ehunekoa,Antzuola,4.54
2012,,,Antzuola,Ehunekoa,Antzuola,4.54
2013,,,Antzuola,Ehunekoa,Antzuola,4.53
2014,,,Antzuola,Ehunekoa,Antzuola,4.58
2015,,,Antzuola,Ehunekoa,Antzuola,4.89
2016,,,Antzuola,Ehunekoa,Antzuola,5.33
2017,,,Antzuola,Ehunekoa,Antzuola,9.06
2018,,,Antzuola,Ehunekoa,Antzuola,11.96
2019,,,Antzuola,Ehunekoa,Antzuola,20.11
2020,,,Antzuola,Ehunekoa,Antzuola,13.54
2021,,,Antzuola,Ehunekoa,Antzuola,13.62
2010,,,Arama,Ehunekoa,Arama,0.0
2011,,,Arama,Ehunekoa,Arama,0.0
2012,,,Arama,Ehunekoa,Arama,0.0
2013,,,Arama,Ehunekoa,Arama,0.0
2014,,,Arama,Ehunekoa,Arama,0.0
2015,,,Arama,Ehunekoa,Arama,0.0
2016,,,Arama,Ehunekoa,Arama,0.0
2017,,,Arama,Ehunekoa,Arama,0.0
2018,,,Arama,Ehunekoa,Arama,0.0
2019,,,Arama,Ehunekoa,Arama,0.0
2020,,,Arama,Ehunekoa,Arama,0.0
2021,,,Arama,Ehunekoa,Arama,0.0
2010,,,Aretxabaleta,Ehunekoa,Aretxabaleta,2.14
2011,,,Aretxabaleta,Ehunekoa,Aretxabaleta,2.14
2012,,,Aretxabaleta,Ehunekoa,Aretxabaleta,2.09
2013,,,Aretxabaleta,Ehunekoa,Aretxabaleta,7.4
2014,,,Aretxabaleta,Ehunekoa,Aretxabaleta,7.69
2015,,,Aretxabaleta,Ehunekoa,Aretxabaleta,8.06
2016,,,Aretxabaleta,Ehunekoa,Aretxabaleta,7.91
2017,,,Aretxabaleta,Ehunekoa,Aretxabaleta,6.33
2018,,,Aretxabaleta,Ehunekoa,Aretxabaleta,6.31
2019,,,Aretxabaleta,Ehunekoa,Aretxabaleta,4.15
2020,,,Aretxabaleta,Ehunekoa,Aretxabaleta,4.15
2021,,,Aretxabaleta,Ehunekoa,Aretxabaleta,6.27
2010,,,Asteasu,Ehunekoa,Asteasu,0.09
2011,,,Asteasu,Ehunekoa,Asteasu,0.35
2012,,,Asteasu,Ehunekoa,Asteasu,0.35
2013,,,Asteasu,Ehunekoa,Asteasu,0.35
2014,,,Asteasu,Ehunekoa,Asteasu,0.09
2015,,,Asteasu,Ehunekoa,Asteasu,0.26
2016,,,Asteasu,Ehunekoa,Asteasu,0.54
2017,,,Asteasu,Ehunekoa,Asteasu,0.54
2018,,,Asteasu,Ehunekoa,Asteasu,0.53
2019,,,Asteasu,Ehunekoa,Asteasu,0.52
2020,,,Asteasu,Ehunekoa,Asteasu,0.5
2021,,,Asteasu,Ehunekoa,Asteasu,0.56
2010,,,Ataun,Ehunekoa,Ataun,1.05
2011,,,Ataun,Ehunekoa,Ataun,1.06
2012,,,Ataun,Ehunekoa,Ataun,1.1
2013,,,Ataun,Ehunekoa,Ataun,1.11
2014,,,Ataun,Ehunekoa,Ataun,1.23
2015,,,Ataun,Ehunekoa,Ataun,1.22
2016,,,Ataun,Ehunekoa,Ataun,0.99
2017,,,Ataun,Ehunekoa,Ataun,0.98
2018,,,Ataun,Ehunekoa,Ataun,0.94
2019,,,Ataun,Ehunekoa,Ataun,3.6
2020,,,Ataun,Ehunekoa,Ataun,3.51
2021,,,Ataun,Ehunekoa,Ataun,3.14
2010,,,Aia,Ehunekoa,Aia,0.33
2011,,,Aia,Ehunekoa,Aia,0.51
2012,,,Aia,Ehunekoa,Aia,0.52
2013,,,Aia,Ehunekoa,Aia,0.34
2014,,,Aia,Ehunekoa,Aia,0.35
2015,,,Aia,Ehunekoa,Aia,0.36
2016,,,Aia,Ehunekoa,Aia,0.35
2017,,,Aia,Ehunekoa,Aia,0.43
2018,,,Aia,Ehunekoa,Aia,0.45
2019,,,Aia,Ehunekoa,Aia,1.2
2020,,,Aia,Ehunekoa,Aia,0.92
2021,,,Aia,Ehunekoa,Aia,1.44
2010,,,Azkoitia,Ehunekoa,Azkoitia,0.81
2011,,,Azkoitia,Ehunekoa,Azkoitia,0.8
2012,,,Azkoitia,Ehunekoa,Azkoitia,0.28
2013,,,Azkoitia,Ehunekoa,Azkoitia,0.09
2014,,,Azkoitia,Ehunekoa,Azkoitia,0.06
2015,,,Azkoitia,Ehunekoa,Azkoitia,0.15
2016,,,Azkoitia,Ehunekoa,Azkoitia,0.15
2017,,,Azkoitia,Ehunekoa,Azkoitia,0.15
2018,,,Azkoitia,Ehunekoa,Azkoitia,0.61
2019,,,Azkoitia,Ehunekoa,Azkoitia,0.95
2020,,,Azkoitia,Ehunekoa,Azkoitia,1.0
2021,,,Azkoitia,Ehunekoa,Azkoitia,2.46
2010,,,Azpeitia,Ehunekoa,Azpeitia,0.19
2011,,,Azpeitia,Ehunekoa,Azpeitia,0.21
2012,,,Azpeitia,Ehunekoa,Azpeitia,0.21
2013,,,Azpeitia,Ehunekoa,Azpeitia,0.21
2014,,,Azpeitia,Ehunekoa,Azpeitia,0.54
2015,,,Azpeitia,Ehunekoa,Azpeitia,0.84
2016,,,Azpeitia,Ehunekoa,Azpeitia,0.9
2017,,,Azpeitia,Ehunekoa,Azpeitia,0.93
2018,,,Azpeitia,Ehunekoa,Azpeitia,1.02
2019,,,Azpeitia,Ehunekoa,Azpeitia,1.05
2020,,,Azpeitia,Ehunekoa,Azpeitia,1.42
2021,,,Azpeitia,Ehunekoa,Azpeitia,1.46
2010,,,Beasain,Ehunekoa,Beasain,0.4
2011,,,Beasain,Ehunekoa,Beasain,0.88
2012,,,Beasain,Ehunekoa,Beasain,0.65
2013,,,Beasain,Ehunekoa,Beasain,0.51
2014,,,Beasain,Ehunekoa,Beasain,0.51
2015,,,Beasain,Ehunekoa,Beasain,0.6
2016,,,Beasain,Ehunekoa,Beasain,0.66
2017,,,Beasain,Ehunekoa,Beasain,0.68
2018,,,Beasain,Ehunekoa,Beasain,0.78
2019,,,Beasain,Ehunekoa,Beasain,1.26
2020,,,Beasain,Ehunekoa,Beasain,1.07
2021,,,Beasain,Ehunekoa,Beasain,1.07
2010,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,1.56
2011,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,1.59
2012,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,1.6
2013,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,1.31
2014,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,1.32
2015,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,2.03
2016,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,2.43
2017,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,1.73
2018,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,1.77
2019,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,3.63
2020,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,3.02
2021,,Debabarrena / Bajo Deba,,Ehunekoa,Debabarrena / Bajo Deba,3.66
2010,,,Beizama,Ehunekoa,Beizama,3.9
2011,,,Beizama,Ehunekoa,Beizama,3.67
2012,,,Beizama,Ehunekoa,Beizama,3.67
2013,,,Beizama,Ehunekoa,Beizama,3.67
2014,,,Beizama,Ehunekoa,Beizama,3.25
2015,,,Beizama,Ehunekoa,Beizama,3.29
2016,,,Beizama,Ehunekoa,Beizama,3.68
2017,,,Beizama,Ehunekoa,Beizama,3.72
2018,,,Beizama,Ehunekoa,Beizama,3.23
2019,,,Beizama,Ehunekoa,Beizama,3.78
2020,,,Beizama,Ehunekoa,Beizama,3.35
2021,,,Beizama,Ehunekoa,Beizama,19.76
2010,,,Belauntza,Ehunekoa,Belauntza,0.0
2011,,,Belauntza,Ehunekoa,Belauntza,0.0
2012,,,Belauntza,Ehunekoa,Belauntza,0.0
2013,,,Belauntza,Ehunekoa,Belauntza,0.0
2014,,,Belauntza,Ehunekoa,Belauntza,0.0
2015,,,Belauntza,Ehunekoa,Belauntza,0.14
2016,,,Belauntza,Ehunekoa,Belauntza,0.0
2017,,,Belauntza,Ehunekoa,Belauntza,0.0
2018,,,Belauntza,Ehunekoa,Belauntza,0.0
2019,,,Belauntza,Ehunekoa,Belauntza,0.0
2020,,,Belauntza,Ehunekoa,Belauntza,0.0
2021,,,Belauntza,Ehunekoa,Belauntza,0.0
2010,,,Berastegi,Ehunekoa,Berastegi,0.0
2011,,,Berastegi,Ehunekoa,Berastegi,0.0
2012,,,Berastegi,Ehunekoa,Berastegi,0.0
2013,,,Berastegi,Ehunekoa,Berastegi,0.0
2014,,,Berastegi,Ehunekoa,Berastegi,0.0
2015,,,Berastegi,Ehunekoa,Berastegi,0.0
2016,,,Berastegi,Ehunekoa,Berastegi,0.0
2017,,,Berastegi,Ehunekoa,Berastegi,0.0
2018,,,Berastegi,Ehunekoa,Berastegi,0.0
2019,,,Berastegi,Ehunekoa,Berastegi,0.0
2020,,,Berastegi,Ehunekoa,Berastegi,0.0
2021,,,Berastegi,Ehunekoa,Berastegi,0.0
2010,,,Berrobi,Ehunekoa,Berrobi,3.75
2011,,,Berrobi,Ehunekoa,Berrobi,3.79
2012,,,Berrobi,Ehunekoa,Berrobi,3.21
2013,,,Berrobi,Ehunekoa,Berrobi,3.86
2014,,,Berrobi,Ehunekoa,Berrobi,3.94
2015,,,Berrobi,Ehunekoa,Berrobi,4.04
2016,,,Berrobi,Ehunekoa,Berrobi,4.51
2017,,,Berrobi,Ehunekoa,Berrobi,3.34
2018,,,Berrobi,Ehunekoa,Berrobi,3.66
2019,,,Berrobi,Ehunekoa,Berrobi,4.3
2020,,,Berrobi,Ehunekoa,Berrobi,3.65
2021,,,Berrobi,Ehunekoa,Berrobi,3.18
2010,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2011,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2012,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2013,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2014,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2015,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2016,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2017,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2018,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2019,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,0.0
2020,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,7.14
2021,,,Bidania-Goiatz,Ehunekoa,Bidania-Goiatz,5.56
2010,,,Zegama,Ehunekoa,Zegama,0.11
2011,,,Zegama,Ehunekoa,Zegama,0.11
2012,,,Zegama,Ehunekoa,Zegama,0.11
2013,,,Zegama,Ehunekoa,Zegama,0.35
2014,,,Zegama,Ehunekoa,Zegama,0.39
2015,,,Zegama,Ehunekoa,Zegama,0.34
2016,,,Zegama,Ehunekoa,Zegama,0.39
2017,,,Zegama,Ehunekoa,Zegama,0.24
2018,,,Zegama,Ehunekoa,Zegama,0.24
2019,,,Zegama,Ehunekoa,Zegama,0.24
2020,,,Zegama,Ehunekoa,Zegama,0.24
2021,,,Zegama,Ehunekoa,Zegama,0.24
2010,,,Zerain,Ehunekoa,Zerain,0.0
2011,,,Zerain,Ehunekoa,Zerain,0.0
2012,,,Zerain,Ehunekoa,Zerain,0.0
2013,,,Zerain,Ehunekoa,Zerain,0.0
2014,,,Zerain,Ehunekoa,Zerain,0.17
2015,,,Zerain,Ehunekoa,Zerain,0.17
2016,,,Zerain,Ehunekoa,Zerain,0.9
2017,,,Zerain,Ehunekoa,Zerain,1.7
2018,,,Zerain,Ehunekoa,Zerain,1.7
2019,,,Zerain,Ehunekoa,Zerain,1.98
2020,,,Zerain,Ehunekoa,Zerain,2.56
2021,,,Zerain,Ehunekoa,Zerain,2.83
2010,,,Zestoa,Ehunekoa,Zestoa,2.38
2011,,,Zestoa,Ehunekoa,Zestoa,2.49
2012,,,Zestoa,Ehunekoa,Zestoa,2.49
2013,,,Zestoa,Ehunekoa,Zestoa,2.47
2014,,,Zestoa,Ehunekoa,Zestoa,2.15
2015,,,Zestoa,Ehunekoa,Zestoa,2.14
2016,,,Zestoa,Ehunekoa,Zestoa,2.14
2017,,,Zestoa,Ehunekoa,Zestoa,1.58
2018,,,Zestoa,Ehunekoa,Zestoa,1.95
2019,,,Zestoa,Ehunekoa,Zestoa,2.25
2020,,,Zestoa,Ehunekoa,Zestoa,2.6
2021,,,Zestoa,Ehunekoa,Zestoa,3.22
2010,,,Zizurkil,Ehunekoa,Zizurkil,0.0
2011,,,Zizurkil,Ehunekoa,Zizurkil,0.0
2012,,,Zizurkil,Ehunekoa,Zizurkil,0.0
2013,,,Zizurkil,Ehunekoa,Zizurkil,0.0
2014,,,Zizurkil,Ehunekoa,Zizurkil,0.0
2015,,,Zizurkil,Ehunekoa,Zizurkil,0.04
2016,,,Zizurkil,Ehunekoa,Zizurkil,0.12
2017,,,Zizurkil,Ehunekoa,Zizurkil,0.13
2018,,,Zizurkil,Ehunekoa,Zizurkil,0.12
2019,,,Zizurkil,Ehunekoa,Zizurkil,0.17
2020,,,Zizurkil,Ehunekoa,Zizurkil,0.16
2021,,,Zizurkil,Ehunekoa,Zizurkil,1.03
2010,,,Deba,Ehunekoa,Deba,2.57
2011,,,Deba,Ehunekoa,Deba,2.63
2012,,,Deba,Ehunekoa,Deba,2.65
2013,,,Deba,Ehunekoa,Deba,2.18
2014,,,Deba,Ehunekoa,Deba,2.05
2015,,,Deba,Ehunekoa,Deba,3.71
2016,,,Deba,Ehunekoa,Deba,4.57
2017,,,Deba,Ehunekoa,Deba,2.19
2018,,,Deba,Ehunekoa,Deba,2.28
2019,,,Deba,Ehunekoa,Deba,4.23
2020,,,Deba,Ehunekoa,Deba,3.47
2021,,,Deba,Ehunekoa,Deba,3.87
2010,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,1.37
2011,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,1.32
2012,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,1.34
2013,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,2.04
2014,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,2.17
2015,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,2.31
2016,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,2.29
2017,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,2.23
2018,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,2.66
2019,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,3.24
2020,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,3.14
2021,,Debagoiena / Alto Deba,,Ehunekoa,Debagoiena / Alto Deba,3.4
2010,,,Eibar,Ehunekoa,Eibar,2.07
2011,,,Eibar,Ehunekoa,Eibar,2.07
2012,,,Eibar,Ehunekoa,Eibar,2.07
2013,,,Eibar,Ehunekoa,Eibar,2.07
2014,,,Eibar,Ehunekoa,Eibar,3.05
2015,,,Eibar,Ehunekoa,Eibar,3.45
2016,,,Eibar,Ehunekoa,Eibar,2.4
2017,,,Eibar,Ehunekoa,Eibar,3.44
2018,,,Eibar,Ehunekoa,Eibar,3.35
2019,,,Eibar,Ehunekoa,Eibar,6.48
2020,,,Eibar,Ehunekoa,Eibar,6.16
2021,,,Eibar,Ehunekoa,Eibar,7.33
2010,,,Elduain,Ehunekoa,Elduain,0.0
2011,,,Elduain,Ehunekoa,Elduain,0.0
2012,,,Elduain,Ehunekoa,Elduain,0.0
2013,,,Elduain,Ehunekoa,Elduain,0.0
2014,,,Elduain,Ehunekoa,Elduain,0.2
2015,,,Elduain,Ehunekoa,Elduain,0.2
2016,,,Elduain,Ehunekoa,Elduain,0.29
2017,,,Elduain,Ehunekoa,Elduain,0.29
2018,,,Elduain,Ehunekoa,Elduain,0.37
2019,,,Elduain,Ehunekoa,Elduain,0.39
2020,,,Elduain,Ehunekoa,Elduain,0.4
2021,,,Elduain,Ehunekoa,Elduain,0.4
2010,,,Elgoibar,Ehunekoa,Elgoibar,1.19
2011,,,Elgoibar,Ehunekoa,Elgoibar,1.23
2012,,,Elgoibar,Ehunekoa,Elgoibar,1.24
2013,,,Elgoibar,Ehunekoa,Elgoibar,0.59
2014,,,Elgoibar,Ehunekoa,Elgoibar,0.71
2015,,,Elgoibar,Ehunekoa,Elgoibar,0.71
2016,,,Elgoibar,Ehunekoa,Elgoibar,1.65
2017,,,Elgoibar,Ehunekoa,Elgoibar,1.65
2018,,,Elgoibar,Ehunekoa,Elgoibar,1.76
2019,,,Elgoibar,Ehunekoa,Elgoibar,4.07
2020,,,Elgoibar,Ehunekoa,Elgoibar,3.23
2021,,,Elgoibar,Ehunekoa,Elgoibar,4.02
2010,,,Elgeta,Ehunekoa,Elgeta,0.0
2011,,,Elgeta,Ehunekoa,Elgeta,0.0
2012,,,Elgeta,Ehunekoa,Elgeta,0.0
2013,,,Elgeta,Ehunekoa,Elgeta,0.0
2014,,,Elgeta,Ehunekoa,Elgeta,0.0
2015,,,Elgeta,Ehunekoa,Elgeta,0.0
2016,,,Elgeta,Ehunekoa,Elgeta,0.0
2017,,,Elgeta,Ehunekoa,Elgeta,0.0
2018,,,Elgeta,Ehunekoa,Elgeta,0.0
2019,,,Elgeta,Ehunekoa,Elgeta,0.0
2020,,,Elgeta,Ehunekoa,Elgeta,0.0
2021,,,Elgeta,Ehunekoa,Elgeta,1.21
2010,,,Eskoriatza,Ehunekoa,Eskoriatza,3.24
2011,,,Eskoriatza,Ehunekoa,Eskoriatza,2.43
2012,,,Eskoriatza,Ehunekoa,Eskoriatza,2.28
2013,,,Eskoriatza,Ehunekoa,Eskoriatza,2.13
2014,,,Eskoriatza,Ehunekoa,Eskoriatza,2.2
2015,,,Eskoriatza,Ehunekoa,Eskoriatza,2.12
2016,,,Eskoriatza,Ehunekoa,Eskoriatza,2.23
2017,,,Eskoriatza,Ehunekoa,Eskoriatza,2.19
2018,,,Eskoriatza,Ehunekoa,Eskoriatza,2.48
2019,,,Eskoriatza,Ehunekoa,Eskoriatza,2.67
2020,,,Eskoriatza,Ehunekoa,Eskoriatza,2.65
2021,,,Eskoriatza,Ehunekoa,Eskoriatza,5.39
2010,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,0.87
2011,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,0.87
2012,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,2.68
2013,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,2.89
2014,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,4.95
2015,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,5.63
2016,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,5.25
2017,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,5.4
2018,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,5.45
2019,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,7.67
2020,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,7.7
2021,,,Ezkio-Itsaso,Ehunekoa,Ezkio-Itsaso,8.4
2010,,,Hondarribia,Ehunekoa,Hondarribia,0.04
2011,,,Hondarribia,Ehunekoa,Hondarribia,0.09
2012,,,Hondarribia,Ehunekoa,Hondarribia,0.09
2013,,,Hondarribia,Ehunekoa,Hondarribia,0.09
2014,,,Hondarribia,Ehunekoa,Hondarribia,0.23
2015,,,Hondarribia,Ehunekoa,Hondarribia,0.2
2016,,,Hondarribia,Ehunekoa,Hondarribia,0.27
2017,,,Hondarribia,Ehunekoa,Hondarribia,0.73
2018,,,Hondarribia,Ehunekoa,Hondarribia,0.66
2019,,,Hondarribia,Ehunekoa,Hondarribia,1.47
2020,,,Hondarribia,Ehunekoa,Hondarribia,1.27
2021,,,Hondarribia,Ehunekoa,Hondarribia,1.34
2010,,,Gaintza,Ehunekoa,Gaintza,0.0
2011,,,Gaintza,Ehunekoa,Gaintza,0.0
2012,,,Gaintza,Ehunekoa,Gaintza,0.0
2013,,,Gaintza,Ehunekoa,Gaintza,0.0
2014,,,Gaintza,Ehunekoa,Gaintza,0.0
2015,,,Gaintza,Ehunekoa,Gaintza,0.0
2016,,,Gaintza,Ehunekoa,Gaintza,0.0
2017,,,Gaintza,Ehunekoa,Gaintza,0.0
2018,,,Gaintza,Ehunekoa,Gaintza,0.0
2019,,,Gaintza,Ehunekoa,Gaintza,0.0
2020,,,Gaintza,Ehunekoa,Gaintza,1.4
2021,,,Gaintza,Ehunekoa,Gaintza,1.39
2010,,,Gabiria,Ehunekoa,Gabiria,0.0
2011,,,Gabiria,Ehunekoa,Gabiria,0.0
2012,,,Gabiria,Ehunekoa,Gabiria,0.37
2013,,,Gabiria,Ehunekoa,Gabiria,0.0
2014,,,Gabiria,Ehunekoa,Gabiria,0.0
2015,,,Gabiria,Ehunekoa,Gabiria,0.0
2016,,,Gabiria,Ehunekoa,Gabiria,0.0
2017,,,Gabiria,Ehunekoa,Gabiria,0.17
2018,,,Gabiria,Ehunekoa,Gabiria,0.18
2019,,,Gabiria,Ehunekoa,Gabiria,0.0
