Year,Sexua,Units,Value
2018,,PT,33.4
2023,,PT,36.1
2013,,PT,35.6
2013,Emakumea,PT,36.4
2018,Emakumea,PT,30.3
2023,Emakumea,PT,34.3
2023,Gizona,PT,37.7
2018,Gizona,PT,34.1
2013,Gizona,PT,35.0
