Year,Sexua,Units,Value
2021,,Porcentaje,99.2
2016,,Porcentaje,98.7
2016,Emakumea,Porcentaje,99.1
2021,Emakumea,Porcentaje,98.9
2021,Gizona,Porcentaje,99.6
2016,Gizona,Porcentaje,98.2
