Year,Units,Value
2024,Porcentaje,15.5
2023,Porcentaje,15.1
2022,Porcentaje,15.7
2021,Porcentaje,15.9
2020,Porcentaje,13.9
2019,Porcentaje,14.4
2018,Porcentaje,12.1
2017,Porcentaje,14.5
2016,Porcentaje,15.9
2015,Porcentaje,17.6
2014,Porcentaje,15.3
2013,Porcentaje,16.8
2012,Porcentaje,17.7
2011,Porcentaje,18.9
2010,Porcentaje,16.3
2009,Porcentaje,14.8
2008,Porcentaje,13.9
