Year,Sexua,Units,Value
2013,,PT,8.5
2018,,PT,11.3
2016,,PT,9.8
2017,,PT,9.5
2014,,PT,7.5
2019,,PT,8.8
2011,,PT,9.0
2012,,PT,7.8
2015,,PT,10.2
2010,,PT,10.8
2012,Emakumea,PT,7.2
2011,Emakumea,PT,9.3
2014,Emakumea,PT,6.8
2013,Emakumea,PT,8.2
2010,Emakumea,PT,8.9
2015,Emakumea,PT,7.3
2016,Emakumea,PT,10.0
2017,Emakumea,PT,8.7
2018,Emakumea,PT,9.7
2019,Emakumea,PT,8.0
2017,Gizona,PT,10.3
2013,Gizona,PT,8.8
2011,Gizona,PT,8.7
2010,Gizona,PT,12.5
2018,Gizona,PT,12.8
2019,Gizona,PT,9.6
2014,Gizona,PT,8.2
2015,Gizona,PT,13.0
2012,Gizona,PT,8.2
2016,Gizona,PT,9.6
