Year,Teknologia,Lurralde historikoa,Units,Value
2018,NET_HFC,Bizkaia,PER_100_POP,13.9
2017,NET_HFC,Bizkaia,PER_100_POP,14.0
2016,NET_HFC,Bizkaia,PER_100_POP,13.7
2015,NET_HFC,Bizkaia,PER_100_POP,13.3
2014,NET_HFC,Bizkaia,PER_100_POP,12.9
2013,NET_HFC,Bizkaia,PER_100_POP,12.7
2012,NET_HFC,Bizkaia,PER_100_POP,12.1
2011,NET_HFC,Bizkaia,PER_100_POP,12.1
2010,NET_HFC,Bizkaia,PER_100_POP,11.3
2022,NET_HFC,Bizkaia,PER_100_POP,7.9
2019,NET_HFC,Gipuzkoa,PER_100_POP,12.1
2018,NET_HFC,Gipuzkoa,PER_100_POP,12.1
2017,NET_HFC,Gipuzkoa,PER_100_POP,12.2
2016,NET_HFC,Gipuzkoa,PER_100_POP,12.1
2015,NET_HFC,Gipuzkoa,PER_100_POP,11.9
2014,NET_HFC,Gipuzkoa,PER_100_POP,11.6
2013,NET_HFC,Gipuzkoa,PER_100_POP,11.3
2012,NET_HFC,Gipuzkoa,PER_100_POP,10.9
2011,NET_HFC,Gipuzkoa,PER_100_POP,10.7
2010,NET_HFC,Gipuzkoa,PER_100_POP,10.0
2022,NET_HFC,Gipuzkoa,PER_100_POP,8.1
2021,NET_HFC,Gipuzkoa,PER_100_POP,10.0
2020,NET_HFC,Gipuzkoa,PER_100_POP,11.7
2010,NET_OTHER,,PER_100_POP,0.2
2018,NET_OTHER,,PER_100_POP,0.3
2020,NET_OTHER,,PER_100_POP,0.3
2019,NET_OTHER,,PER_100_POP,0.3
2014,NET_OTHER,,PER_100_POP,0.2
2012,NET_OTHER,,PER_100_POP,0.2
2011,NET_OTHER,,PER_100_POP,0.2
2017,NET_OTHER,,PER_100_POP,0.3
2013,NET_OTHER,,PER_100_POP,0.2
2022,NET_OTHER,,PER_100_POP,0.3
2021,NET_OTHER,,PER_100_POP,0.3
2016,NET_OTHER,,PER_100_POP,0.3
2015,NET_OTHER,,PER_100_POP,0.2
2012,NET_OTHER,Araba / Álava,PER_100_POP,0.4
2010,NET_OTHER,Araba / Álava,PER_100_POP,0.5
2011,NET_OTHER,Araba / Álava,PER_100_POP,0.4
2015,NET_OTHER,Araba / Álava,PER_100_POP,0.4
2016,NET_OTHER,Araba / Álava,PER_100_POP,0.4
2017,NET_OTHER,Araba / Álava,PER_100_POP,0.4
2020,NET_OTHER,Araba / Álava,PER_100_POP,0.3
2019,NET_OTHER,Araba / Álava,PER_100_POP,0.4
2022,NET_OTHER,Araba / Álava,PER_100_POP,0.3
2021,NET_OTHER,Araba / Álava,PER_100_POP,0.3
2018,NET_OTHER,Araba / Álava,PER_100_POP,0.5
2014,NET_OTHER,Araba / Álava,PER_100_POP,0.4
2013,NET_OTHER,Araba / Álava,PER_100_POP,0.4
2013,NET_OTHER,Bizkaia,PER_100_POP,0.1
2022,NET_OTHER,Bizkaia,PER_100_POP,0.3
2021,NET_OTHER,Bizkaia,PER_100_POP,0.3
2020,NET_OTHER,Bizkaia,PER_100_POP,0.4
2019,NET_OTHER,Bizkaia,PER_100_POP,0.3
2018,NET_OTHER,Bizkaia,PER_100_POP,0.3
2017,NET_OTHER,Bizkaia,PER_100_POP,0.3
2016,NET_OTHER,Bizkaia,PER_100_POP,0.2
2015,NET_OTHER,Bizkaia,PER_100_POP,0.2
2014,NET_OTHER,Bizkaia,PER_100_POP,0.2
2012,NET_OTHER,Bizkaia,PER_100_POP,0.1
2011,NET_OTHER,Bizkaia,PER_100_POP,0.2
2010,NET_OTHER,Bizkaia,PER_100_POP,0.2
2014,NET_OTHER,Gipuzkoa,PER_100_POP,0.2
2010,NET_OTHER,Gipuzkoa,PER_100_POP,0.3
2018,NET_OTHER,Gipuzkoa,PER_100_POP,0.3
2022,NET_OTHER,Gipuzkoa,PER_100_POP,0.4
2021,NET_OTHER,Gipuzkoa,PER_100_POP,0.3
2020,NET_OTHER,Gipuzkoa,PER_100_POP,0.3
2019,NET_OTHER,Gipuzkoa,PER_100_POP,0.3
2017,NET_OTHER,Gipuzkoa,PER_100_POP,0.3
2016,NET_OTHER,Gipuzkoa,PER_100_POP,0.2
2015,NET_OTHER,Gipuzkoa,PER_100_POP,0.2
2013,NET_OTHER,Gipuzkoa,PER_100_POP,0.2
2012,NET_OTHER,Gipuzkoa,PER_100_POP,0.2
2011,NET_OTHER,Gipuzkoa,PER_100_POP,0.2
