Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2023,,,Amoroto,PER_10000,Amoroto,0.0
2022,,,Amoroto,PER_10000,Amoroto,0.0
2020,,,Amoroto,PER_10000,Amoroto,0.0
2019,,,Amoroto,PER_10000,Amoroto,48.1
2021,,,Amoroto,PER_10000,Amoroto,0.0
2020,,,Amurrio,PER_10000,Amurrio,30.3
2021,,,Amurrio,PER_10000,Amurrio,17.1
2022,,,Amurrio,PER_10000,Amurrio,32.3
2019,,,Amurrio,PER_10000,Amurrio,26.6
2023,,,Amurrio,PER_10000,Amurrio,36.1
2020,,,Andoain,PER_10000,Andoain,32.1
2023,,,Andoain,PER_10000,Andoain,39.2
2022,,,Andoain,PER_10000,Andoain,44.5
2019,,,Andoain,PER_10000,Andoain,30.7
2021,,,Andoain,PER_10000,Andoain,25.6
2019,,,Anoeta,PER_10000,Anoeta,10.2
2022,,,Anoeta,PER_10000,Anoeta,19.2
2020,,,Anoeta,PER_10000,Anoeta,29.9
2021,,,Anoeta,PER_10000,Anoeta,29.3
2023,,,Anoeta,PER_10000,Anoeta,9.7
2021,,,Antzuola,PER_10000,Antzuola,18.6
2020,,,Antzuola,PER_10000,Antzuola,18.5
2019,,,Antzuola,PER_10000,Antzuola,36.4
2023,,,Antzuola,PER_10000,Antzuola,18.5
2022,,,Antzuola,PER_10000,Antzuola,9.3
2021,,,Añana,PER_10000,Añana,0.0
2019,,,Añana,PER_10000,Añana,0.0
2023,,,Añana,PER_10000,Añana,0.0
2020,,,Añana,PER_10000,Añana,0.0
2022,,,Añana,PER_10000,Añana,0.0
2022,,,Arakaldo,PER_10000,Arakaldo,0.0
2020,,,Arakaldo,PER_10000,Arakaldo,0.0
2019,,,Arakaldo,PER_10000,Arakaldo,0.0
2023,,,Arakaldo,PER_10000,Arakaldo,0.0
2021,,,Arakaldo,PER_10000,Arakaldo,0.0
2023,,,Arama,PER_10000,Arama,0.0
2021,,,Arama,PER_10000,Arama,0.0
2020,,,Arama,PER_10000,Arama,0.0
2022,,,Arama,PER_10000,Arama,0.0
2019,,,Arama,PER_10000,Arama,0.0
2020,,,Aramaio,PER_10000,Aramaio,0.0
2022,,,Aramaio,PER_10000,Aramaio,0.0
2019,,,Aramaio,PER_10000,Aramaio,0.0
2021,,,Aramaio,PER_10000,Aramaio,14.0
2023,,,Aramaio,PER_10000,Aramaio,14.4
2023,,,Arantzazu,PER_10000,Arantzazu,152.3
2021,,,Arantzazu,PER_10000,Arantzazu,49.5
2022,,,Arantzazu,PER_10000,Arantzazu,0.0
