Year,Territorio,Units,Value
2015,1.0,EUR,67516.1
2016,1.0,EUR,74272.6
2017,1.0,EUR,73256.6
2018,1.0,EUR,73598.7
2019,1.0,EUR,77321.8
2020,1.0,EUR,77356.4
2021,1.0,EUR,89515.3
2015,20.0,EUR,66769.2
2016,20.0,EUR,63403.8
2017,20.0,EUR,66769.6
2018,20.0,EUR,66904.3
2019,20.0,EUR,67064.9
2020,20.0,EUR,61405.2
2021,20.0,EUR,65659.9
2015,48.0,EUR,56004.9
2016,48.0,EUR,66772.4
2017,48.0,EUR,68124.3
2018,48.0,EUR,67412.1
2019,48.0,EUR,76134.7
2020,48.0,EUR,77467.6
2021,48.0,EUR,71477.9
2015,,EUR,65128.6
2016,,EUR,67325.4
2017,,EUR,68894.9
2018,,EUR,68872.5
2019,,EUR,71800.9
2020,,EUR,68938.6
2021,,EUR,73395.4
