Year,Series,Units,Value
2012,_L_ES_010A02_01,Porcentaje,26.19
2014,_L_ES_010A02_01,Porcentaje,27.16
2015,_L_ES_010A02_01,Porcentaje,27.26
2016,_L_ES_010A02_01,Porcentaje,27.01
2017,_L_ES_010A02_01,Porcentaje,26.84
2018,_L_ES_010A02_01,Porcentaje,27.15
2019,_L_ES_010A02_01,Porcentaje,27.7
2020,_L_ES_010A02_01,Porcentaje,27.43
2021,_L_ES_010A02_01,Porcentaje,26.96
2022,_L_ES_010A02_01,Porcentaje,26.65
