Year,Serie,Sexo,Cobertura,Residencia,Discapacidad,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2010,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,6.5
2011,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,6.2
2012,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,8.4
2013,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,10.3
2014,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,11.9
2015,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.7
2016,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,13.3
2017,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.9
2018,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.9
2019,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.8
2020,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,13.8
2021,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,13.9
2022,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.6
2010,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,8.4
2011,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,5.4
2012,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,7.7
2013,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,8.6
2014,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,9.2
2015,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,10.0
2016,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,12.6
2017,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,8.8
2018,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,13.3
2019,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,15.4
2020,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,13.4
2021,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,13.1
2022,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,13.6
2010,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,8.2
2011,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,4.6
2012,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,5.0
2013,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2014,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2015,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2016,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,6.2
2017,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,7.4
2018,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,9.1
2019,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,9.7
2020,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,10.7
2021,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,11.3
2022,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,10.7
2010,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,6.6
2011,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2012,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.0
2013,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2014,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,1.3
2015,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2016,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2017,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2018,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2019,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,4.0
2020,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,4.0
2021,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,4.1
2022,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,4.8
2010,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,11.9
2011,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,5.4
2012,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,8.6
2013,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,4.9
2014,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,3.8
2015,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,5.4
2016,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,8.0
2017,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,7.3
2018,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,10.9
2019,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,10.4
2020,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,12.2
2021,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,15.0
2022,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,11.7
2010,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2011,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2012,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2013,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2014,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2015,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,8.9
2016,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,4.5
2017,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,4.6
2018,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2019,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2020,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2021,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2022,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,4.4
2010,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,8.4
2011,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,5.0
2012,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.0
2013,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.0
2014,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.0
2015,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,3.9
2016,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,4.9
2017,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.9
2018,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.9
2019,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.9
2020,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.0
2021,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,2.8
2022,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.9
2010,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,18.3
2011,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,9.4
2012,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,4.7
2013,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,10.8
2014,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,7.9
2015,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,15.8
2016,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,16.0
2017,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,14.7
2018,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,19.7
2019,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,19.2
2020,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,20.2
2021,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,18.7
2022,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,21.3
2010,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,2.2
2011,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,2.0
2012,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,3.2
2013,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,2.2
2014,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,3.0
2015,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,5.2
2016,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,6.4
2017,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,3.3
2018,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,4.1
2019,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,2.8
2020,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,3.2
2021,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,3.7
2022,AES,,TIT,,,,ES0101,,Por 1.000 habitantes,ES0101,3.5
2010,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,3.6
2011,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.7
2012,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,1.4
2013,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,1.4
2014,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.4
2015,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,1.4
2016,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,2.1
2017,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,1.0
2018,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,1.4
2019,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,2.8
2020,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,3.4
2021,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,4.1
2022,AES,,TIT,,,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,2.8
2010,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,0.0
2011,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,0.0
2012,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,0.0
2013,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,3.1
2014,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,0.0
2015,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,3.2
2016,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,3.2
2017,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,0.0
2018,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,0.0
2019,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,0.0
2020,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,0.0
2021,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,0.0
2022,AES,,TIT,,,,,Baños de Ebro/Mañueta,Por 1.000 habitantes,Baños de Ebro/Mañueta,3.1
2010,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,3.2
2011,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,1.1
2012,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,2.1
2013,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,2.1
2014,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,2.1
2015,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,3.2
2016,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,1.1
2017,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,2.1
2018,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,4.2
2019,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,3.2
2020,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,3.2
2021,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,1.1
2022,AES,,TIT,,,,,Barrundia,Por 1.000 habitantes,Barrundia,3.2
2010,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,0.0
2011,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,2.1
2012,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,0.0
2013,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,0.0
2014,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,2.1
2015,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,4.2
2016,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,2.1
2017,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,2.1
2018,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,6.2
2019,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,8.1
2020,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,10.0
2021,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,8.0
2022,AES,,TIT,,,,,Berantevilla,Por 1.000 habitantes,Berantevilla,6.0
2010,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,1.7
2011,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,1.7
2012,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,1.7
2013,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,1.8
2014,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,5.5
2015,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,5.7
2016,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,7.6
2017,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,7.5
2018,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,3.8
2019,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,5.7
2020,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,5.6
2021,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,3.6
2022,AES,,TIT,,,,,Bernedo,Por 1.000 habitantes,Bernedo,1.8
2010,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,3.6
2011,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,4.5
2012,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,7.1
2013,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,5.4
2014,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,5.6
2015,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,4.7
2016,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,1.9
2017,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,2.8
2018,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,5.6
2019,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,5.6
2020,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,7.4
2021,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,5.4
2022,AES,,TIT,,,,,Campezo/Kanpezu,Por 1.000 habitantes,Campezo/Kanpezu,6.3
2010,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,2.3
2011,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,1.1
2012,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,0.6
2013,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,1.7
2014,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,1.7
2015,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,1.7
2016,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,1.2
2017,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,0.0
2018,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,0.6
2019,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,0.6
2020,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,1.1
2021,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,1.1
2022,AES,,TIT,,,,,Zigoitia,Por 1.000 habitantes,Zigoitia,1.6
2010,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2011,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2012,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2013,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2014,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2015,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2016,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2017,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2018,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2019,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2020,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2021,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2022,AES,,TIT,,,,,Kripan,Por 1.000 habitantes,Kripan,0.0
2010,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,6.7
2011,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,6.8
2012,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,9.5
2013,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,12.3
2014,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,14.4
2015,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,15.1
2016,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,15.0
2017,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,14.7
2018,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,14.3
2019,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,14.2
2020,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,15.4
2021,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,15.3
2022,AES,,TIT,,,,ES0102,,Por 1.000 habitantes,ES0102,13.9
2010,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,0.0
2011,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,2.9
2012,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,2.9
2013,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,2.9
2014,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,0.0
2015,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,0.0
2016,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,0.0
2017,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,0.0
2018,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,0.0
2019,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,2.7
2020,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,0.0
2021,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,2.5
2022,AES,,TIT,,,,,Kuartango,Por 1.000 habitantes,Kuartango,2.5
2010,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,1.6
2011,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,1.6
2012,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,3.1
2013,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,3.1
2014,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,3.1
2015,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,3.2
2016,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,3.1
2017,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,1.6
2018,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,1.6
2019,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,0.0
2020,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,1.6
2021,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,1.5
2022,AES,,TIT,,,,,Elburgo/Burgelu,Por 1.000 habitantes,Elburgo/Burgelu,3.1
2010,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,3.7
2011,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,0.9
2012,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,1.9
2013,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,1.9
2014,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,1.8
2015,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,2.8
2016,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,2.9
2017,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,1.9
2018,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,2.9
2019,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,3.9
2020,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,5.8
2021,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,2.0
2022,AES,,TIT,,,,,Elciego,Por 1.000 habitantes,Elciego,1.0
2010,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,0.0
2011,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,0.0
2012,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,0.0
2013,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,2.9
2014,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,2.9
2015,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,0.0
2016,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,8.4
2017,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,8.2
2018,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,8.3
2019,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,2.8
2020,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,0.0
2021,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,5.9
2022,AES,,TIT,,,,,Elvillar/Bilar,Por 1.000 habitantes,Elvillar/Bilar,12.1
2010,AES,,TIT,,,,,Iruraiz-Gauna,Por 1.000 habitantes,Iruraiz-Gauna,1.8
2011,AES,,TIT,,,,,Iruraiz-Gauna,Por 1.000 habitantes,Iruraiz-Gauna,1.8
2012,AES,,TIT,,,,,Iruraiz-Gauna,Por 1.000 habitantes,Iruraiz-Gauna,1.8
2013,AES,,TIT,,,,,Iruraiz-Gauna,Por 1.000 habitantes,Iruraiz-Gauna,5.5
2014,AES,,TIT,,,,,Iruraiz-Gauna,Por 1.000 habitantes,Iruraiz-Gauna,7.4
2015,AES,,TIT,,,,,Iruraiz-Gauna,Por 1.000 habitantes,Iruraiz-Gauna,1.9
2016,AES,,TIT,,,,,Iruraiz-Gauna,Por 1.000 habitantes,Iruraiz-Gauna,0.0
2017,AES,,TIT,,,,,Iruraiz-Gauna,Por 1.000 habitantes,Iruraiz-Gauna,0.0
2018,AES,,TIT,,,,,Iruraiz-Gauna,Por 1.000 habitantes,Iruraiz-Gauna,0.0
