Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,177.3
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,33.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,186.9
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,176.8
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,203.8
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,187.5
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,184.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,35.1
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,184.5
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,179.4
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,39.1
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,76.8
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,185.2
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,178.0
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,Kg per cápita,435.2
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,34.4
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,34.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,40.4
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,35.6
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,32.6
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,33.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,33.6
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,32.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,0.0
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,7.1
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,0.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,5.1
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,9.1
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,6.6
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,7.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,6.6
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,0.0
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,0.0
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,40.4
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,27.7
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,7.1
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,34.1
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,35.3
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,25.5
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,5.3
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,0.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,38.3
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,0.0
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,4.4
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,0.0
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,0.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,Kg per cápita,34.9
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,0.0
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,36.8
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,4.3
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,2.2
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,2.0
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,5.1
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,7.2
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,21.3
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,9.2
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,31.3
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,1.8
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,4.7
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,18.2
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,35.4
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,8.4
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,9.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,11.0
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,5.8
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,1.7
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,26.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,34.4
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,38.1
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,Kg per cápita,24.3
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,7.6
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,6.7
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,3.6
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,7.1
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.9
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,8.0
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,32.8
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.9
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,16.7
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,5.3
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,3.6
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.3
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.2
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,25.4
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,22.6
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,8.0
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,19.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,10.1
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,5.9
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,3.0
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,14.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,9.5
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,4.7
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,12.0
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,13.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,0.0
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,Kg per cápita,12.1
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,0.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.9
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,4.0
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,6.7
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,2.6
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,4.3
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,3.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.8
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,1.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,1.2
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,2.3
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,1.9
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,1.6
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,2.1
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,16.7
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.9
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,4.6
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.9
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,11.7
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,14.9
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.5
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,10.9
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,5.6
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,9.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,1.1
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,Kg per cápita,4.8
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,17.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,16.0
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,12.9
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,11.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,5.6
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,72.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,8.3
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,4.0
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,16.4
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,3.3
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,10.0
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,16.2
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,13.8
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,79.3
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,77.3
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,74.5
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,16.6
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,%,3.4
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,53.5
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,19.0
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,75.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,44.6
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,64.4
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,59.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,28.0
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Gipuzkoa,Kg per cápita,15.4
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,202.0
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,49.5
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,40.6
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,170.5
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,47.9
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,93.2
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,240.1
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,188.9
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,18.9
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,168.1
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,142.2
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,20.3
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,160.7
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,17.7
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,89.3
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,31.7
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,37.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,32.0
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,48.9
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,243.3
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,226.4
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,31.4
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,33.2
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,165.2
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,27.7
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,104.8
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,187.2
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,353.2
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,337.8
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,325.1
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,217.4
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,76.1
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,43.2
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,51.2
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,76.5
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,212.7
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,70.9
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,48.1
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,45.3
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,52.9
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,52.7
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,43.9
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,185.6
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,198.6
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,217.4
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,283.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,161.4
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,38.5
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,216.1
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Kg per cápita,221.6
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,50.7
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,%,76.8
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,100.6
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,153.4
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,170.5
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,96.0
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,28.7
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,147.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,109.2
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,22.7
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,141.0
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,115.4
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,20.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,17.8
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,19.6
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,16.7
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,19.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,26.9
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,20.1
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,31.4
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,93.6
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,23.7
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,91.8
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,113.2
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,33.8
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,119.7
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,%,16.9
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Bizkaia,Kg per cápita,123.7
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,7.1
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,37.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,47.4
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,9.1
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,47.5
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,40.4
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,66.1
