Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,173.7
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,29.5
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,33.8
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,29.7
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,37.9
