Year,Series,Units,Value
2015,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,1.0
2016,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,1.01
