Year,Series,Units,Value
2010,_L_ES_010A02_02,Porcentaje,32.77
2011,_L_ES_010A02_02,Porcentaje,32.7
2012,_L_ES_010A02_02,Porcentaje,33.4
2013,_L_ES_010A02_02,Porcentaje,35.29
2014,_L_ES_010A02_02,Porcentaje,34.49
2015,_L_ES_010A02_02,Porcentaje,35.25
2016,_L_ES_010A02_02,Porcentaje,34.92
2017,_L_ES_010A02_02,Porcentaje,34.64
2018,_L_ES_010A02_02,Porcentaje,36.02
2019,_L_ES_010A02_02,Porcentaje,37.2
2020,_L_ES_010A02_02,Porcentaje,37.99
2021,_L_ES_010A02_02,Porcentaje,38.56
