Year,Units,Value
2000,Porcentaje,0.0
2004,Porcentaje,0.2
2008,Porcentaje,0.0
2012,Porcentaje,0.0
2014,Porcentaje,0.0
2016,Porcentaje,0.0
2018,Porcentaje,0.0
2020,Porcentaje,0.0
2022,Porcentaje,0.0
