Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2011,Consumo de agua por habitante y día,,,Abaltzisketa,Litros per cápita diario,Abaltzisketa,158.1
2012,Consumo de agua por habitante y día,,,Abaltzisketa,Litros per cápita diario,Abaltzisketa,158.3
2019,Consumo de agua por habitante y día,,,Abaltzisketa,Litros per cápita diario,Abaltzisketa,150.1
2018,Consumo de agua por habitante y día,,,Abaltzisketa,Litros per cápita diario,Abaltzisketa,156.5
2016,Consumo de agua por habitante y día,,,Abaltzisketa,Litros per cápita diario,Abaltzisketa,158.9
2017,Consumo de agua por habitante y día,,,Abaltzisketa,Litros per cápita diario,Abaltzisketa,154.5
2014,Consumo de agua por habitante y día,,,Abaltzisketa,Litros per cápita diario,Abaltzisketa,157.1
2015,Consumo de agua por habitante y día,,,Abaltzisketa,Litros per cápita diario,Abaltzisketa,145.6
2014,Consumo de agua por habitante y día,,,Abanto y Ciérvana-Abanto Zierbena,Litros per cápita diario,Abanto y Ciérvana-Abanto Zierbena,178.3
2015,Consumo de agua por habitante y día,,,Abanto y Ciérvana-Abanto Zierbena,Litros per cápita diario,Abanto y Ciérvana-Abanto Zierbena,178.0
2012,Consumo de agua por habitante y día,,,Abanto y Ciérvana-Abanto Zierbena,Litros per cápita diario,Abanto y Ciérvana-Abanto Zierbena,182.8
2019,Consumo de agua por habitante y día,,,Abanto y Ciérvana-Abanto Zierbena,Litros per cápita diario,Abanto y Ciérvana-Abanto Zierbena,178.2
2017,Consumo de agua por habitante y día,,,Abanto y Ciérvana-Abanto Zierbena,Litros per cápita diario,Abanto y Ciérvana-Abanto Zierbena,173.5
2011,Consumo de agua por habitante y día,,,Abanto y Ciérvana-Abanto Zierbena,Litros per cápita diario,Abanto y Ciérvana-Abanto Zierbena,183.8
2018,Consumo de agua por habitante y día,,,Abanto y Ciérvana-Abanto Zierbena,Litros per cápita diario,Abanto y Ciérvana-Abanto Zierbena,174.4
2016,Consumo de agua por habitante y día,,,Abanto y Ciérvana-Abanto Zierbena,Litros per cápita diario,Abanto y Ciérvana-Abanto Zierbena,176.2
2017,Consumo de agua por habitante y día,,,Aduna,Litros per cápita diario,Aduna,149.1
2012,Consumo de agua por habitante y día,,,Aduna,Litros per cápita diario,Aduna,296.3
2011,Consumo de agua por habitante y día,,,Aduna,Litros per cápita diario,Aduna,297.7
2019,Consumo de agua por habitante y día,,,Aduna,Litros per cápita diario,Aduna,148.7
2016,Consumo de agua por habitante y día,,,Aduna,Litros per cápita diario,Aduna,155.7
2018,Consumo de agua por habitante y día,,,Aduna,Litros per cápita diario,Aduna,148.5
2014,Consumo de agua por habitante y día,,,Aduna,Litros per cápita diario,Aduna,284.9
2015,Consumo de agua por habitante y día,,,Aduna,Litros per cápita diario,Aduna,141.4
2016,Consumo de agua por habitante y día,,,Agurain/Salvatierra,Litros per cápita diario,Agurain/Salvatierra,226.9
2011,Consumo de agua por habitante y día,,,Agurain/Salvatierra,Litros per cápita diario,Agurain/Salvatierra,238.5
2012,Consumo de agua por habitante y día,,,Agurain/Salvatierra,Litros per cápita diario,Agurain/Salvatierra,202.5
2018,Consumo de agua por habitante y día,,,Agurain/Salvatierra,Litros per cápita diario,Agurain/Salvatierra,199.1
2015,Consumo de agua por habitante y día,,,Agurain/Salvatierra,Litros per cápita diario,Agurain/Salvatierra,207.3
2017,Consumo de agua por habitante y día,,,Agurain/Salvatierra,Litros per cápita diario,Agurain/Salvatierra,205.6
2014,Consumo de agua por habitante y día,,,Agurain/Salvatierra,Litros per cápita diario,Agurain/Salvatierra,177.2
2019,Consumo de agua por habitante y día,,,Agurain/Salvatierra,Litros per cápita diario,Agurain/Salvatierra,168.3
2018,Consumo de agua por habitante y día,,,Aia,Litros per cápita diario,Aia,153.6
2015,Consumo de agua por habitante y día,,,Aia,Litros per cápita diario,Aia,144.1
2016,Consumo de agua por habitante y día,,,Aia,Litros per cápita diario,Aia,155.8
2011,Consumo de agua por habitante y día,,,Aia,Litros per cápita diario,Aia,158.1
2019,Consumo de agua por habitante y día,,,Aia,Litros per cápita diario,Aia,155.6
