Year,Series,Units,Value
2008,_L_ES_010201_1A,Porcentaje,8.77
2012,_L_ES_010201_1A,Porcentaje,8.8
2014,_L_ES_010201_1A,Porcentaje,10.34
2016,_L_ES_010201_1A,Porcentaje,8.96
2018,_L_ES_010201_1A,Porcentaje,10.16
2020,_L_ES_010201_1A,Porcentaje,9.84
2022,_L_ES_010201_1A,Porcentaje,10.61
