Year,Series,Producto,Territorio,Units,Value
2019,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,95.6
2023,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,123.7
2010,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,83.3
2015,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,90.6
2011,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,85.0
2021,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,100.0
2013,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,89.9
2016,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,92.1
2017,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,93.3
2020,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,98.2
2014,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,89.3
2018,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,94.7
2012,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,87.3
2022,Índice de precios de los alimentos (2021=100),Alimentos,,Índice,111.4
2015,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,89.9
2011,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,84.2
2021,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,100.0
2020,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,97.7
2022,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,110.9
2010,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,82.5
2018,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,93.9
2012,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,86.3
2013,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,88.8
2014,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,88.3
2017,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,92.4
2016,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,91.1
2023,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,122.6
2019,Índice de precios de los alimentos (2021=100),Alimentos,Araba/Álava,Índice,94.9
2014,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,89.5
2018,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,94.6
2022,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,111.7
2016,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,92.0
2020,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,98.3
2021,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,100.0
2011,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,85.1
2019,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,95.4
2023,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,124.3
2013,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,90.1
2017,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,93.5
2015,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,90.5
2012,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,87.4
2010,Índice de precios de los alimentos (2021=100),Alimentos,Bizkaia,Índice,83.1
2015,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,91.2
2021,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,100.0
2018,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,95.2
2023,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,123.4
2020,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,98.4
2022,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,111.2
2012,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,87.7
2019,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,96.2
2017,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,93.5
2013,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,90.2
2016,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,92.6
2014,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,89.7
2010,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,84.1
2011,Índice de precios de los alimentos (2021=100),Alimentos,Gipuzkoa,Índice,85.4
2021,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,100.0
2010,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,92.2
2023,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,126.4
2013,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,98.3
2016,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,97.2
2012,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,97.0
2022,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,113.9
2015,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,96.8
2014,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,97.1
2018,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,96.9
2019,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,98.4
2011,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,95.0
2017,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,95.5
2020,Índice de precios de los alimentos (2021=100),Pan y cereales,,Índice,99.9
