Year,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2018,,,,,PER_100000_POP,,0.18
2019,,,,,PER_100000_POP,,0.09
2020,,,,,PER_100000_POP,,0.05
2017,,,,,PER_100000_POP,,0.23
2012,,,,,PER_100000_POP,,0.0
2011,,,,,PER_100000_POP,,0.14
2015,,,,,PER_100000_POP,,0.09
2016,,,,,PER_100000_POP,,0.14
2010,,,,,PER_100000_POP,,0.18
2013,,,,,PER_100000_POP,,0.14
2022,,,,,PER_100000_POP,,0.27
2023,,,,,PER_100000_POP,,0.09
2014,,,,,PER_100000_POP,,0.05
2021,,,,,PER_100000_POP,,0.0
2011,,,,ES48001,PER_100000_POP,ES48001,0.0
2019,,,,ES48001,PER_100000_POP,ES48001,0.0
2013,,,,ES48001,PER_100000_POP,ES48001,0.0
2012,,,,ES48001,PER_100000_POP,ES48001,0.0
2023,,,,ES48001,PER_100000_POP,ES48001,0.0
2010,,,,ES48001,PER_100000_POP,ES48001,0.0
2018,,,,ES48001,PER_100000_POP,ES48001,0.0
2022,,,,ES48001,PER_100000_POP,ES48001,0.0
2020,,,,ES48001,PER_100000_POP,ES48001,0.0
2014,,,,ES48001,PER_100000_POP,ES48001,0.0
2017,,,,ES48001,PER_100000_POP,ES48001,0.0
2021,,,,ES48001,PER_100000_POP,ES48001,0.0
2015,,,,ES48001,PER_100000_POP,ES48001,0.0
2016,,,,ES48001,PER_100000_POP,ES48001,0.0
2021,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2018,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2016,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2015,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2014,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2019,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2011,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2013,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2022,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2012,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2010,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2020,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2017,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2023,,,,Abaltzisketa,PER_100000_POP,Abaltzisketa,0.0
2011,,,,ES48002,PER_100000_POP,ES48002,0.0
2021,,,,ES48002,PER_100000_POP,ES48002,0.0
2017,,,,ES48002,PER_100000_POP,ES48002,0.0
2012,,,,ES48002,PER_100000_POP,ES48002,0.0
2020,,,,ES48002,PER_100000_POP,ES48002,0.0
2014,,,,ES48002,PER_100000_POP,ES48002,0.0
2016,,,,ES48002,PER_100000_POP,ES48002,0.0
2013,,,,ES48002,PER_100000_POP,ES48002,0.0
2019,,,,ES48002,PER_100000_POP,ES48002,0.0
