Year,Series,Hondakinen tratamendua,Lurralde historikoa,Units,Value
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,60.9
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,71.2
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,69.9
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,63.4
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,70.8
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,76.9
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,60.3
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,56.6
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,61.6
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,62.7
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,58.9
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,56.8
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,47.7
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,64.6
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,68.9
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Gipuzkoa,Porcentaje,63.8
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,0.5
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,0.9
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,0.9
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,1.1
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,0.5
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,1.0
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,0.5
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,0.2
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,1.0
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,1.8
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,Porcentaje,1.0
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,0.6
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,0.4
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,0.6
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,0.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,1.1
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,0.7
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,0.1
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,0.4
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,0.3
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,2.9
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,Porcentaje,0.5
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,1.3
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,1.5
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,1.1
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,1.5
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,0.3
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,1.3
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,1.2
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,0.7
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,2.1
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,0.1
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,Porcentaje,0.7
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.5
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.2
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.1
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.4
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.2
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.4
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.4
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.2
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,1.3
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.4
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,Porcentaje,0.3
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,39.6
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,29.9
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,38.1
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,32.2
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,35.2
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,31.5
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,34.2
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,33.7
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,30.6
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,32.6
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,,Porcentaje,34.6
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,36.3
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,43.5
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,48.0
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,43.4
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,38.2
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,44.0
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,44.5
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,48.6
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,40.3
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,49.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Araba / Álava,Porcentaje,53.1
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,27.6
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,29.4
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,28.4
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,35.9
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,27.3
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,27.4
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,37.7
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,29.4
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,36.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,24.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Bizkaia,Porcentaje,26.4
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,40.7
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,42.8
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,34.6
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,21.5
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,30.8
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,35.1
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,35.5
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,37.3
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,42.1
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,50.9
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Zabortegia,Gipuzkoa,Porcentaje,36.0
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.1
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.8
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.1
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,4.2
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.2
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.8
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.1
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.3
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",,Porcentaje,0.6
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,0.4
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,0.6
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,21.9
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,1.1
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,0.1
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,0.5
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,0.1
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,0.6
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,0.4
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,0.4
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Araba / Álava,Porcentaje,0.3
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.1
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.1
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.3
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.0
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.4
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.4
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.1
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.1
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.8
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Bizkaia,Porcentaje,0.1
