Year,Series,Units,Value
2017,Proporción de masas de agua superficiales de buena calidad,Porcentaje,53.0
2016,Proporción de masas de agua superficiales de buena calidad,Porcentaje,50.0
2018,Proporción de masas de agua superficiales de buena calidad,Porcentaje,61.8
2020,Proporción de masas de agua superficiales de buena calidad,Porcentaje,53.0
2019,Proporción de masas de agua superficiales de buena calidad,Porcentaje,50.0
2021,Proporción de masas de agua superficiales de buena calidad,Porcentaje,56.6
2015,Proporción de masas de agua superficiales de buena calidad,Porcentaje,48.1
2022,Proporción de masas de agua superficiales de buena calidad,Porcentaje,50.3
2016,Proporción de masas de agua de río de buena calidad,Porcentaje,48.8
2017,Proporción de masas de agua de río de buena calidad,Porcentaje,50.4
2021,Proporción de masas de agua de río de buena calidad,Porcentaje,55.1
2015,Proporción de masas de agua de río de buena calidad,Porcentaje,45.5
2018,Proporción de masas de agua de río de buena calidad,Porcentaje,60.3
2019,Proporción de masas de agua de río de buena calidad,Porcentaje,45.7
2020,Proporción de masas de agua de río de buena calidad,Porcentaje,48.0
2022,Proporción de masas de agua de río de buena calidad,Porcentaje,45.3
