Year,Province,County,Municipality,Unidad,GeoCode,Value
2023,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,1128.7
2022,,,Harana/Valle de Arana,Euros,Harana/Valle de Arana,759.5
2023,,,Harana/Valle de Arana,Euros,Harana/Valle de Arana,841.4
2022,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,830.6
2023,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,947.4
2022,,,Legutio,Euros,Legutio,1437.0
2023,,,Legutio,Euros,Legutio,1564.7
2022,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,1401.0
2023,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,1537.1
2022,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euros,Arabako Kantaurialdea / Cantábrica Alavesa,1436.9
2023,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euros,Arabako Kantaurialdea / Cantábrica Alavesa,1567.8
2022,,,Yécora/Iekora,Euros,Yécora/Iekora,808.7
2023,,,Yécora/Iekora,Euros,Yécora/Iekora,905.8
2022,,,Zalduondo,Euros,Zalduondo,1254.0
2023,,,Zalduondo,Euros,Zalduondo,1396.8
2022,,,Zambrana,Euros,Zambrana,1175.8
2023,,,Zambrana,Euros,Zambrana,1283.2
2022,,,Zuia,Euros,Zuia,1380.2
2023,,,Zuia,Euros,Zuia,1555.8
2022,,,Iruña Oka/Iruña de Oca,Euros,Iruña Oka/Iruña de Oca,1281.7
2023,,,Iruña Oka/Iruña de Oca,Euros,Iruña Oka/Iruña de Oca,1424.0
2022,,,Lantarón,Euros,Lantarón,1001.2
2023,,,Lantarón,Euros,Lantarón,1133.9
2022,Gipuzkoa,,,Euros,Gipuzkoa,1331.1
2023,Gipuzkoa,,,Euros,Gipuzkoa,1461.8
2022,,,Abaltzisketa,Euros,Abaltzisketa,1287.0
2023,,,Abaltzisketa,Euros,Abaltzisketa,1419.5
2022,,,Aduna,Euros,Aduna,1261.7
