Year,Province,County,Municipality,Unidad,GeoCode,Value
2023,,Plentzia-Mungia,,Euros,Plentzia-Mungia,1583.3
2022,,,Aulesti,Euros,Aulesti,1064.6
2023,,,Aulesti,Euros,Aulesti,1161.7
2022,,,Muskiz,Euros,Muskiz,1393.6
2023,,,Muskiz,Euros,Muskiz,1524.2
2022,,,Otxandio,Euros,Otxandio,1206.2
2023,,,Otxandio,Euros,Otxandio,1329.6
2022,,,Ondarroa,Euros,Ondarroa,1154.7
2023,,,Ondarroa,Euros,Ondarroa,1264.7
2022,,,Urduña/Orduña,Euros,Urduña/Orduña,1330.0
2023,,,Urduña/Orduña,Euros,Urduña/Orduña,1481.2
2022,,,Orozko,Euros,Orozko,1328.8
2023,,,Orozko,Euros,Orozko,1470.0
2022,,,Sukarrieta,Euros,Sukarrieta,1354.1
2023,,,Sukarrieta,Euros,Sukarrieta,1461.0
2022,,,Plentzia,Euros,Plentzia,1544.1
2023,,,Plentzia,Euros,Plentzia,1703.1
2022,,,Portugalete,Euros,Portugalete,1375.9
2023,,,Portugalete,Euros,Portugalete,1504.4
2022,,,Errigoiti,Euros,Errigoiti,1130.5
2023,,,Errigoiti,Euros,Errigoiti,1272.6
2022,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,1370.8
2023,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,1501.7
2022,,,Lezama,Euros,Lezama,1390.8
2023,,,Lezama,Euros,Lezama,1534.5
2022,,,Santurtzi,Euros,Santurtzi,1353.8
2023,,,Santurtzi,Euros,Santurtzi,1479.3
2022,,,Ortuella,Euros,Ortuella,1358.3
2023,,,Ortuella,Euros,Ortuella,1484.4
2022,,,Sestao,Euros,Sestao,1330.3
2023,,,Sestao,Euros,Sestao,1448.3
2022,,,Sopela,Euros,Sopela,1500.7
2023,,,Sopela,Euros,Sopela,1649.8
2022,,,Sopuerta,Euros,Sopuerta,1295.6
2023,,,Sopuerta,Euros,Sopuerta,1412.2
2022,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,1159.7
2023,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,1288.1
2022,,,Ubide,Euros,Ubide,1150.9
2023,,,Ubide,Euros,Ubide,1237.1
2022,,,Urduliz,Euros,Urduliz,1440.2
2023,,,Urduliz,Euros,Urduliz,1578.9
2022,,,Balmaseda,Euros,Balmaseda,1185.7
2023,,,Balmaseda,Euros,Balmaseda,1313.9
2022,,,Atxondo,Euros,Atxondo,1411.0
2023,,,Atxondo,Euros,Atxondo,1570.6
2022,,,Bedia,Euros,Bedia,1283.4
2023,,,Bedia,Euros,Bedia,1413.4
2022,,,Areatza,Euros,Areatza,1353.4
2023,,,Areatza,Euros,Areatza,1499.0
2022,,,Igorre,Euros,Igorre,1416.0
2023,,,Igorre,Euros,Igorre,1546.5
2022,,,Zaldibar,Euros,Zaldibar,1406.7
2023,,,Zaldibar,Euros,Zaldibar,1545.6
2022,,,Zalla,Euros,Zalla,1376.4
2023,,,Zalla,Euros,Zalla,1503.5
2022,,,Zaratamo,Euros,Zaratamo,1412.5
2023,,,Zaratamo,Euros,Zaratamo,1547.7
2022,,,Derio,Euros,Derio,1228.0
2023,,,Derio,Euros,Derio,1342.7
2022,,,Erandio,Euros,Erandio,1257.6
2023,,,Erandio,Euros,Erandio,1371.1
2022,,,Loiu,Euros,Loiu,1381.1
2023,,,Loiu,Euros,Loiu,1524.5
2022,,,Sondika,Euros,Sondika,1345.5
2023,,,Sondika,Euros,Sondika,1501.2
2022,,,Zamudio,Euros,Zamudio,1290.7
2023,,,Zamudio,Euros,Zamudio,1412.4
2022,,,Forua,Euros,Forua,1234.8
2023,,,Forua,Euros,Forua,1408.6
2022,,,Kortezubi,Euros,Kortezubi,1089.9
2023,,,Kortezubi,Euros,Kortezubi,1184.9
2022,,,Murueta,Euros,Murueta,1419.4
2023,,,Murueta,Euros,Murueta,1559.8
2022,,,Nabarniz,Euros,Nabarniz,1065.5
2023,,,Nabarniz,Euros,Nabarniz,1158.6
2022,,,Iurreta,Euros,Iurreta,1358.0
2023,,,Iurreta,Euros,Iurreta,1481.0
2022,,,Ajangiz,Euros,Ajangiz,1230.7
2023,,,Ajangiz,Euros,Ajangiz,1354.2
2022,,,Alonsotegi,Euros,Alonsotegi,1232.0
2023,,,Alonsotegi,Euros,Alonsotegi,1358.5
2022,,,Zierbena,Euros,Zierbena,1511.9
2023,,,Zierbena,Euros,Zierbena,1620.5
2022,,,Arratzu,Euros,Arratzu,1207.9
2023,,,Arratzu,Euros,Arratzu,1306.5
2022,,,Ziortza-Bolibar,Euros,Ziortza-Bolibar,1162.4
2023,,,Ziortza-Bolibar,Euros,Ziortza-Bolibar,1309.2
2022,,,,Euros,,1354.2
2023,,,,Euros,,1485.8
