Year,Sex,Province,Units,Value
2008,,,PT,55.4
2014,,,PT,76.4
2020,,,PT,91.7
2009,,,PT,57.7
2022,,,PT,94.3
2010,,,PT,58.4
2021,,,PT,94.0
2015,,,PT,80.2
2011,,,PT,63.5
2012,,,PT,64.3
2016,,,PT,83.7
2019,,,PT,89.1
2013,,,PT,73.8
2017,,,PT,84.3
2018,,,PT,87.9
2023,,,PT,96.3
2016,,Araba/Álava,PT,83.9
2019,,Araba/Álava,PT,89.2
2009,,Araba/Álava,PT,56.2
2017,,Araba/Álava,PT,86.4
2014,,Araba/Álava,PT,76.4
2015,,Araba/Álava,PT,80.9
2023,,Araba/Álava,PT,96.6
2008,,Araba/Álava,PT,55.3
2013,,Araba/Álava,PT,75.4
2020,,Araba/Álava,PT,91.1
2010,,Araba/Álava,PT,61.8
2022,,Araba/Álava,PT,93.7
2018,,Araba/Álava,PT,90.5
2012,,Araba/Álava,PT,64.5
2011,,Araba/Álava,PT,61.2
2021,,Araba/Álava,PT,94.2
2011,,Bizkaia,PT,62.6
2010,,Bizkaia,PT,55.2
2019,,Bizkaia,PT,89.7
2021,,Bizkaia,PT,94.0
2017,,Bizkaia,PT,83.5
2015,,Bizkaia,PT,80.2
2018,,Bizkaia,PT,87.5
2013,,Bizkaia,PT,74.0
2012,,Bizkaia,PT,62.1
2009,,Bizkaia,PT,57.8
2008,,Bizkaia,PT,55.2
2014,,Bizkaia,PT,77.2
2022,,Bizkaia,PT,94.5
2023,,Bizkaia,PT,96.5
2020,,Bizkaia,PT,91.4
2016,,Bizkaia,PT,84.0
2014,,Gipuzkoa,PT,75.1
2010,,Gipuzkoa,PT,62.3
2012,,Gipuzkoa,PT,67.7
2015,,Gipuzkoa,PT,79.8
2011,,Gipuzkoa,PT,66.0
2023,,Gipuzkoa,PT,96.0
2009,,Gipuzkoa,PT,58.2
2018,,Gipuzkoa,PT,87.4
2022,,Gipuzkoa,PT,94.4
2019,,Gipuzkoa,PT,88.2
2017,,Gipuzkoa,PT,84.5
2008,,Gipuzkoa,PT,55.7
2013,,Gipuzkoa,PT,72.8
2020,,Gipuzkoa,PT,92.5
2021,,Gipuzkoa,PT,93.8
2016,,Gipuzkoa,PT,83.0
2009,F,,PT,54.9
2010,F,,PT,55.7
2013,F,,PT,70.2
2016,F,,PT,82.7
2017,F,,PT,84.0
2015,F,,PT,77.3
2021,F,,PT,94.6
2008,F,,PT,52.4
2023,F,,PT,97.0
2011,F,,PT,60.5
2018,F,,PT,86.6
2012,F,,PT,61.1
2022,F,,PT,94.8
2014,F,,PT,74.4
2020,F,,PT,92.1
2019,F,,PT,88.6
2021,F,Araba/Álava,PT,95.3
2020,F,Araba/Álava,PT,92.4
2023,F,Araba/Álava,PT,97.6
2018,F,Araba/Álava,PT,88.9
2009,F,Araba/Álava,PT,54.0
2010,F,Araba/Álava,PT,60.8
2013,F,Araba/Álava,PT,72.9
2015,F,Araba/Álava,PT,77.6
2017,F,Araba/Álava,PT,86.9
2014,F,Araba/Álava,PT,75.0
2011,F,Araba/Álava,PT,60.2
2008,F,Araba/Álava,PT,53.1
2016,F,Araba/Álava,PT,81.8
2012,F,Araba/Álava,PT,62.5
2022,F,Araba/Álava,PT,92.5
2019,F,Araba/Álava,PT,89.2
2020,F,Bizkaia,PT,91.6
