Year,Series,Units,Value
2013,GF_XPD_GBPC,%,91.22
2018,GF_XPD_GBPC,%,99.46
2017,Gasto liquidado por la administración local en relación al gasto presupuestado,%,106.06
2022,GF_XPD_GBPC,%,105.06
2019,GF_XPD_GBPC,%,106.56
2014,GF_XPD_GBPC,%,98.26
2017,GF_XPD_GBPC,%,97.52
2021,Gasto liquidado por la administración local en relación al gasto presupuestado,%,107.29
2012,GF_XPD_GBPC,%,97.69
2020,Gasto liquidado por la administración local en relación al gasto presupuestado,%,90.48
2021,GF_XPD_GBPC,%,101.01
2020,GF_XPD_GBPC,%,99.79
2015,GF_XPD_GBPC,%,95.46
2010,GF_XPD_GBPC,%,100.0
2022,Gasto liquidado por la administración local en relación al gasto presupuestado,%,103.74
2023,Gasto liquidado por la administración local en relación al gasto presupuestado,%,101.37
2018,Gasto liquidado por la administración local en relación al gasto presupuestado,%,101.54
2019,Gasto liquidado por la administración local en relación al gasto presupuestado,%,100.69
2016,GF_XPD_GBPC,%,94.36
2011,GF_XPD_GBPC,%,96.27
