Year,Type of skill,Sex,Units,Value
2023,Functional literacy,,PT,77.6
2023,Functional numeracy,,PT,81.0
2013,Functional literacy,,PT,68.1
2013,Functional numeracy,,PT,69.2
2023,Functional numeracy,F,PT,78.7
2013,Functional literacy,F,PT,68.2
2013,Functional numeracy,F,PT,67.0
2023,Functional literacy,F,PT,80.1
2023,Functional numeracy,M,PT,83.4
2013,Functional numeracy,M,PT,71.5
2023,Functional literacy,M,PT,74.9
2013,Functional literacy,M,PT,67.9
