Year,Units,Value
2010,T_OE_PER_1000000_EUR,107.2
2011,T_OE_PER_1000000_EUR,98.5
2012,T_OE_PER_1000000_EUR,101.4
2013,T_OE_PER_1000000_EUR,98.9
2014,T_OE_PER_1000000_EUR,94.9
2015,T_OE_PER_1000000_EUR,93.4
2016,T_OE_PER_1000000_EUR,89.8
2017,T_OE_PER_1000000_EUR,90.0
2018,T_OE_PER_1000000_EUR,87.4
2019,T_OE_PER_1000000_EUR,86.6
2020,T_OE_PER_1000000_EUR,86.3
2021,T_OE_PER_1000000_EUR,87.5
2022,T_OE_PER_1000000_EUR,85.8
