Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2010,,16 years and over,,,,,Orio,%,Orio,8.0
2022,,16 years and over,,,,,Orio,%,Orio,6.6
2015,,16 years and over,,,,,Orio,%,Orio,15.9
2016,,16 years and over,,,,,Orio,%,Orio,13.7
2023,,16 years and over,,,,,Orio,%,Orio,5.7
2020,,16 years and over,,,,,Orio,%,Orio,10.1
2019,,16 years and over,,,,,Orio,%,Orio,9.5
2023,,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,7.8
2021,,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,7.5
2018,,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,10.2
2020,,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,7.0
2015,,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,11.2
2010,,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,7.7
2019,,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,7.0
2016,,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,10.6
2022,,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,6.2
2018,,16 years and over,,,,,Orozko,%,Orozko,10.0
2016,,16 years and over,,,,,Orozko,%,Orozko,12.4
2023,,16 years and over,,,,,Orozko,%,Orozko,9.1
2021,,16 years and over,,,,,Orozko,%,Orozko,10.5
2015,,16 years and over,,,,,Orozko,%,Orozko,12.6
2022,,16 years and over,,,,,Orozko,%,Orozko,10.3
2020,,16 years and over,,,,,Orozko,%,Orozko,9.5
2019,,16 years and over,,,,,Orozko,%,Orozko,8.9
2010,,16 years and over,,,,,Orozko,%,Orozko,6.3
2016,,16 years and over,,,,,Ortuella,%,Ortuella,19.9
2023,,16 years and over,,,,,Ortuella,%,Ortuella,11.9
2010,,16 years and over,,,,,Ortuella,%,Ortuella,9.5
2020,,16 years and over,,,,,Ortuella,%,Ortuella,12.6
2015,,16 years and over,,,,,Ortuella,%,Ortuella,19.7
2018,,16 years and over,,,,,Ortuella,%,Ortuella,15.0
2019,,16 years and over,,,,,Ortuella,%,Ortuella,14.1
2021,,16 years and over,,,,,Ortuella,%,Ortuella,15.2
2022,,16 years and over,,,,,Ortuella,%,Ortuella,13.1
2010,,16 years and over,,,,,Otxandio,%,Otxandio,8.3
2015,,16 years and over,,,,,Otxandio,%,Otxandio,11.9
2021,,16 years and over,,,,,Otxandio,%,Otxandio,9.0
2018,,16 years and over,,,,,Otxandio,%,Otxandio,9.0
2023,,16 years and over,,,,,Otxandio,%,Otxandio,8.5
2022,,16 years and over,,,,,Otxandio,%,Otxandio,8.3
2016,,16 years and over,,,,,Otxandio,%,Otxandio,12.3
2020,,16 years and over,,,,,Otxandio,%,Otxandio,7.8
2019,,16 years and over,,,,,Otxandio,%,Otxandio,8.1
2016,,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,25.0
2021,,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,16.5
2023,,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,12.5
2018,,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,20.0
2022,,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,13.7
2010,,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,20.8
2015,,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,24.7
2019,,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,19.2
2020,,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,17.2
2015,,16 years and over,,,,,Pasaia,%,Pasaia,17.2
2023,,16 years and over,,,,,Pasaia,%,Pasaia,8.5
2020,,16 years and over,,,,,Pasaia,%,Pasaia,10.5
2018,,16 years and over,,,,,Pasaia,%,Pasaia,12.4
2016,,16 years and over,,,,,Pasaia,%,Pasaia,15.7
2021,,16 years and over,,,,,Pasaia,%,Pasaia,11.8
2022,,16 years and over,,,,,Pasaia,%,Pasaia,9.4
2019,,16 years and over,,,,,Pasaia,%,Pasaia,11.3
2010,,16 years and over,,,,,Pasaia,%,Pasaia,10.6
2018,,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,6.6
2015,,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,8.6
2019,,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,6.7
2021,,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,4.4
2023,,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,5.0
2016,,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,4.0
2022,,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,3.9
2020,,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,6.6
2010,,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,11.5
2020,,16 years and over,,,,,Plentzia,%,Plentzia,10.9
2023,,16 years and over,,,,,Plentzia,%,Plentzia,7.9
2018,,16 years and over,,,,,Plentzia,%,Plentzia,11.2
2022,,16 years and over,,,,,Plentzia,%,Plentzia,9.6
2019,,16 years and over,,,,,Plentzia,%,Plentzia,10.8
2016,,16 years and over,,,,,Plentzia,%,Plentzia,14.9
2015,,16 years and over,,,,,Plentzia,%,Plentzia,17.1
2010,,16 years and over,,,,,Plentzia,%,Plentzia,9.6
2021,,16 years and over,,,,,Plentzia,%,Plentzia,10.9
2023,,16 years and over,,,,,Portugalete,%,Portugalete,10.5
2022,,16 years and over,,,,,Portugalete,%,Portugalete,12.3
2019,,16 years and over,,,,,Portugalete,%,Portugalete,13.0
2015,,16 years and over,,,,,Portugalete,%,Portugalete,17.4
2021,,16 years and over,,,,,Portugalete,%,Portugalete,13.9
2016,,16 years and over,,,,,Portugalete,%,Portugalete,17.6
2020,,16 years and over,,,,,Portugalete,%,Portugalete,13.0
2010,,16 years and over,,,,,Portugalete,%,Portugalete,10.3
2018,,16 years and over,,,,,Portugalete,%,Portugalete,14.2
2019,,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,10.9
2015,,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,18.8
2021,,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,10.8
2018,,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,13.6
2020,,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,9.2
2023,,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,7.9
2022,,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,8.5
2016,,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,15.4
2010,,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,14.6
2016,,16 years and over,,,,,Samaniego,%,Samaniego,5.9
2018,,16 years and over,,,,,Samaniego,%,Samaniego,1.9
2022,,16 years and over,,,,,Samaniego,%,Samaniego,6.0
2023,,16 years and over,,,,,Samaniego,%,Samaniego,6.3
2021,,16 years and over,,,,,Samaniego,%,Samaniego,8.3
2020,,16 years and over,,,,,Samaniego,%,Samaniego,2.9
2015,,16 years and over,,,,,Samaniego,%,Samaniego,8.6
2010,,16 years and over,,,,,Samaniego,%,Samaniego,2.6
2019,,16 years and over,,,,,Samaniego,%,Samaniego,5.6
2015,,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,11.3
2021,,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,5.5
2010,,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,7.4
2022,,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,6.0
2018,,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,7.8
2016,,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,8.9
2020,,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,7.2
2019,,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,7.3
2023,,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,5.4
2021,,16 years and over,,,,,Santurtzi,%,Santurtzi,15.0
2019,,16 years and over,,,,,Santurtzi,%,Santurtzi,14.9
2015,,16 years and over,,,,,Santurtzi,%,Santurtzi,19.6
2020,,16 years and over,,,,,Santurtzi,%,Santurtzi,13.8
2010,,16 years and over,,,,,Santurtzi,%,Santurtzi,11.2
2022,,16 years and over,,,,,Santurtzi,%,Santurtzi,13.5
2023,,16 years and over,,,,,Santurtzi,%,Santurtzi,11.7
2018,,16 years and over,,,,,Santurtzi,%,Santurtzi,16.1
2016,,16 years and over,,,,,Santurtzi,%,Santurtzi,20.0
2015,,16 years and over,,,,,Segura,%,Segura,9.2
2021,,16 years and over,,,,,Segura,%,Segura,6.0
2020,,16 years and over,,,,,Segura,%,Segura,6.7
2010,,16 years and over,,,,,Segura,%,Segura,8.0
2023,,16 years and over,,,,,Segura,%,Segura,4.2
2019,,16 years and over,,,,,Segura,%,Segura,6.7
2022,,16 years and over,,,,,Segura,%,Segura,3.5
2016,,16 years and over,,,,,Segura,%,Segura,8.7
2018,,16 years and over,,,,,Segura,%,Segura,7.7
2015,,16 years and over,,,,,Sestao,%,Sestao,22.5
2010,,16 years and over,,,,,Sestao,%,Sestao,12.6
2020,,16 years and over,,,,,Sestao,%,Sestao,15.6
2022,,16 years and over,,,,,Sestao,%,Sestao,14.8
2016,,16 years and over,,,,,Sestao,%,Sestao,23.9
2018,,16 years and over,,,,,Sestao,%,Sestao,18.7
2023,,16 years and over,,,,,Sestao,%,Sestao,12.3
2021,,16 years and over,,,,,Sestao,%,Sestao,16.9
2019,,16 years and over,,,,,Sestao,%,Sestao,17.3
2019,,16 years and over,,,,,Sondika,%,Sondika,9.0
2020,,16 years and over,,,,,Sondika,%,Sondika,7.8
2015,,16 years and over,,,,,Sondika,%,Sondika,13.1
2018,,16 years and over,,,,,Sondika,%,Sondika,8.6
2023,,16 years and over,,,,,Sondika,%,Sondika,7.1
2016,,16 years and over,,,,,Sondika,%,Sondika,12.2
2022,,16 years and over,,,,,Sondika,%,Sondika,8.8
2021,,16 years and over,,,,,Sondika,%,Sondika,9.1
2010,,16 years and over,,,,,Sondika,%,Sondika,7.3
2010,,16 years and over,,,,,Sopela,%,Sopela,9.5
2020,,16 years and over,,,,,Sopela,%,Sopela,9.0
