Year,Series,Units,Value
2008,_L_ES_010202_1A,Porcentaje,12.58
2012,_L_ES_010202_1A,Porcentaje,14.71
2014,_L_ES_010202_1A,Porcentaje,16.67
2016,_L_ES_010202_1A,Porcentaje,15.59
2018,_L_ES_010202_1A,Porcentaje,15.12
2020,_L_ES_010202_1A,Porcentaje,13.38
2022,_L_ES_010202_1A,Porcentaje,14.59
